Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Apple,6.58,17.35,46.24,1966,837.96,129,21,169
Apple,5.88,23.92,44.43,1693,928.44,94,23,220
Apple,6.13,19.79,37.99,2358,908.76,113,27,205
Apple,6.23,15.48,33.94,3064,635.95,100,20,163
Apple,6.47,13.69,32.24,1844,874.37,132,27,174
Apple,6.84,24.34,47.88,3025,607.33,109,28,227
Apple,5.95,12.59,34.9,2518,910.58,123,19,241
Apple,6.95,18.52,44.47,1507,633.58,147,24,170
Apple,6.82,23.53,47.67,3063,624.37,129,20,236
Apple,6.53,24.56,36.5,2197,846.26,110,18,229
Apple,5.88,19.41,35.3,2451,930.73,90,16,168
Apple,6.78,17.07,41.83,2665,985.09,111,20,180
Apple,6.73,15.87,38.68,1854,683.55,111,23,166
Apple,6.54,12.65,31.03,2273,945.26,149,28,161
Apple,5.53,24.56,43.35,2988,820.12,103,18,173
Apple,6.22,25.09,49.83,2808,837.43,121,24,206
Apple,5.76,26.6,37.08,2329,656.7,125,16,162
Apple,6.91,15.77,38.88,2410,637.34,116,27,184
Apple,6.41,13.27,48.46,1761,775.0,141,19,205
Apple,6.06,24.81,34.74,1743,698.49,118,19,222
Apple,6.35,24.81,36.02,2273,845.83,121,21,158
Apple,6.52,15.29,46.77,2482,888.03,85,28,209
Apple,6.7,16.44,36.91,2377,728.68,130,18,197
Apple,6.89,24.02,45.17,2908,648.19,142,28,198
Apple,6.79,21.39,48.23,2297,805.54,104,17,231
Apple,5.87,18.47,32.59,3211,669.46,149,27,158
Apple,6.92,17.13,49.74,2176,720.53,112,22,166
Apple,6.77,15.14,39.27,3291,696.11,130,16,245
Apple,6.06,23.69,30.47,1764,605.62,125,20,202
Apple,5.9,10.33,39.47,1424,605.27,96,25,203
Apple,6.91,19.98,38.9,2698,750.97,98,22,234
Apple,6.03,24.89,33.55,2445,864.69,110,22,211
Apple,6.76,19.0,31.44,2013,812.33,91,28,249
Apple,6.99,22.09,48.03,3172,869.84,100,17,198
Apple,6.1,24.03,45.44,2509,750.03,100,28,158
Apple,6.78,11.0,37.89,2769,601.71,127,19,247
Apple,6.98,23.79,44.97,2165,768.89,118,17,243
Apple,6.8,26.68,41.31,1626,861.59,106,22,155
Apple,6.95,11.53,40.13,2508,808.98,137,18,150
Apple,6.62,16.97,46.4,2698,811.03,111,22,178
Apple,5.96,15.03,41.45,3042,720.86,145,21,206
Apple,5.95,17.22,31.63,1791,852.84,81,23,200
Apple,6.96,22.15,38.9,2440,707.84,100,27,236
Apple,6.62,20.93,46.7,1769,914.79,146,26,209
Apple,6.27,22.78,31.87,1610,674.5,102,25,180
Apple,6.15,20.18,35.37,2675,744.22,123,16,236
Apple,6.65,15.85,36.46,2645,823.23,127,25,153
Apple,6.56,16.47,30.73,2398,834.47,114,20,219
Apple,6.87,16.77,36.29,1526,973.45,141,29,152
Apple,6.47,13.38,37.67,1648,610.9,83,28,159
Apple,6.12,26.07,48.48,2743,730.48,126,17,158
Apple,5.89,11.14,43.34,2270,663.08,105,17,218
Apple,6.46,21.79,40.67,3104,872.87,100,28,174
Apple,6.0,10.77,46.16,2382,954.01,120,21,182
Apple,6.92,14.01,39.83,2959,612.17,82,28,199
Apple,6.53,15.07,49.03,2727,719.49,121,27,171
Apple,6.24,25.2,39.13,1482,923.77,94,27,184
Apple,5.66,13.27,45.29,1453,933.85,133,19,165
Apple,5.82,16.0,42.52,1882,967.92,81,17,176
Apple,6.5,25.12,32.41,1627,659.5,81,23,227
Apple,6.37,15.06,39.42,3167,994.41,110,27,245
Apple,6.89,19.53,34.26,1619,793.92,99,17,170
Apple,6.22,25.35,32.31,2030,704.1,143,17,202
Apple,6.92,22.05,47.41,3277,672.74,150,22,175
Apple,6.38,18.91,43.89,2578,947.01,145,29,250
Apple,6.48,23.66,48.14,2683,823.35,109,27,177
Apple,5.85,22.25,36.73,2433,866.63,111,20,216
Apple,6.85,20.59,40.38,2882,678.23,133,29,203
Apple,5.91,23.73,36.83,1751,633.73,136,24,179
Apple,5.59,12.86,43.29,1881,792.78,134,30,182
Apple,6.57,25.49,30.1,2276,629.14,130,26,239
Apple,6.12,23.76,45.28,2932,660.55,133,16,164
Apple,6.34,19.39,38.86,2708,754.86,135,19,243
Apple,6.89,24.87,48.07,2702,835.5,82,19,189
Apple,5.73,22.29,43.11,2173,743.38,88,23,191
Apple,5.84,25.99,38.19,2241,983.11,90,26,208
Apple,5.77,13.61,47.19,1621,772.12,126,24,164
Apple,6.16,14.32,38.68,1519,775.26,148,29,182
Apple,6.71,16.11,45.52,2675,873.32,86,17,219
Apple,5.77,25.01,32.02,3266,693.39,92,28,250
Apple,5.56,11.38,36.05,2274,980.65,106,30,193
Apple,5.57,17.2,38.15,2216,615.18,95,29,220
Apple,6.62,13.23,42.55,2489,806.39,83,20,241
Apple,6.75,16.25,35.82,2160,747.15,81,16,154
Apple,6.78,14.5,44.0,2442,802.54,100,17,235
Apple,6.72,20.76,31.63,2270,802.49,134,30,181
Apple,6.38,13.08,48.42,1510,758.51,116,26,211
Apple,5.5,14.13,37.26,1500,635.11,89,24,152
Apple,6.87,21.12,38.69,2367,750.53,121,24,191
Apple,6.04,21.3,47.9,2240,835.33,87,21,228
Apple,5.57,24.74,38.17,1549,938.96,107,19,189
Apple,6.15,20.65,35.01,3160,600.59,129,21,195
Apple,6.1,11.37,43.04,2335,843.08,143,23,245
Apple,6.47,16.68,43.31,2885,625.36,82,28,239
Apple,6.83,18.41,34.46,2884,866.03,130,29,179
Apple,6.87,17.38,45.14,3180,995.92,132,22,199
Apple,6.93,13.74,32.19,2985,868.91,126,25,231
Apple,6.45,23.14,31.99,1583,876.14,104,21,156
Apple,6.87,22.69,37.1,3091,893.4,87,21,193
Apple,6.91,25.68,35.89,1899,666.5,87,23,224
Apple,6.48,19.37,47.63,1561,884.13,112,25,243
Apple,6.43,12.67,44.04,2311,702.84,126,25,167
Apple,6.86,17.32,40.38,1743,761.66,84,26,184
Apple,6.84,20.68,46.38,2841,935.28,142,29,212
Apple,6.45,14.85,35.06,2177,930.24,111,25,159
Apple,6.09,17.7,33.09,3203,805.01,87,18,191
Apple,6.48,12.24,33.56,1902,661.1,112,30,176
Apple,6.53,25.71,43.98,2301,985.9,123,21,214
Apple,6.33,21.78,44.21,2079,700.97,115,23,202
Apple,6.81,18.48,32.98,2633,797.43,102,21,180
Apple,6.29,11.42,35.41,2769,971.29,124,19,204
Apple,6.84,18.99,42.98,2839,666.99,113,24,197
Apple,6.37,26.4,32.99,2267,820.74,105,25,161
Apple,6.88,16.01,44.59,2360,844.21,102,15,226
Apple,6.0,17.44,33.17,2318,926.68,83,25,220
Apple,6.5,19.36,46.28,3052,737.6,133,25,194
Apple,5.8,26.89,37.59,2884,836.95,82,17,247
Apple,5.71,13.45,35.84,1546,753.08,138,24,193
Apple,6.57,15.37,34.4,2097,947.65,133,18,242
Apple,6.53,20.67,40.04,2411,645.64,148,23,177
Apple,5.58,15.08,39.73,1847,609.55,90,22,172
Apple,6.42,18.02,30.78,3105,676.28,129,21,239
Apple,6.24,22.56,42.85,2316,903.62,130,18,186
Apple,6.9,12.47,46.14,1892,852.39,132,28,231
Apple,5.63,12.55,34.43,2708,783.0,111,26,222
Apple,5.58,20.65,39.96,3218,853.06,139,30,238
Apple,6.78,13.53,32.04,2657,972.45,128,26,153
Apple,5.67,21.36,42.34,3076,617.08,112,23,186
Apple,5.81,26.62,39.87,1611,636.04,106,25,183
Apple,5.88,20.22,44.03,1496,601.71,94,24,235
Apple,6.86,13.71,41.64,1962,771.86,97,20,220
Apple,6.74,18.54,36.34,1899,943.64,147,15,195
Apple,6.62,15.05,31.08,2244,679.73,150,22,150
Apple,6.53,17.92,33.33,1464,723.91,123,18,154
Apple,5.92,26.09,34.95,1673,922.92,109,15,198
Apple,7.0,21.3,34.85,2501,672.45,130,27,180
Apple,5.91,22.84,41.02,3018,817.82,144,18,221
Apple,6.8,24.66,40.5,2474,780.95,150,26,221
Apple,6.85,15.55,47.01,2369,712.71,82,25,199
Apple,6.92,26.03,30.92,1410,615.53,150,16,158
Apple,6.7,19.13,31.47,2007,867.27,108,19,170
Apple,5.82,13.15,40.6,2715,725.94,123,15,214
Apple,6.49,13.89,42.84,2784,894.85,125,30,224
Apple,6.0,13.79,42.43,2384,648.7,134,29,218
Apple,5.76,20.78,39.44,2086,846.77,102,16,224
Apple,6.88,19.82,35.28,3098,833.03,118,21,170
Apple,5.53,25.77,34.95,1872,762.06,104,22,209
Apple,5.9,23.83,42.66,1608,630.64,145,22,191
Apple,6.92,22.67,33.05,1752,929.32,98,28,237
Apple,6.75,16.77,32.43,2660,944.75,93,30,236
Apple,6.85,23.84,34.77,2226,609.79,91,26,172
Apple,5.69,24.44,41.37,1529,712.94,110,26,246
Apple,6.71,25.51,33.36,2822,889.59,148,22,241
Apple,5.77,11.78,31.0,2656,960.32,93,24,203
Apple,5.59,12.59,44.68,1821,897.08,141,20,209
Apple,5.72,12.95,42.16,1767,873.52,121,21,162
Apple,5.62,23.03,35.75,2345,879.73,142,22,201
Apple,5.85,23.0,33.92,1765,817.18,125,16,167
Apple,5.88,26.26,32.27,3291,939.94,98,23,212
Apple,6.84,11.44,42.84,1493,992.55,141,15,235
Apple,6.2,16.49,41.16,3161,927.21,115,24,203
Apple,6.43,10.81,49.49,2309,619.89,127,20,153
Apple,5.55,16.83,48.4,2871,872.85,131,19,211
Apple,6.77,19.11,34.03,2123,727.44,145,19,158
Apple,5.74,12.07,45.0,2210,606.3,96,17,161
Apple,5.78,15.24,31.19,2184,701.23,100,28,187
Apple,6.08,19.89,44.41,2677,886.13,139,23,203
Apple,6.81,24.32,30.01,2770,758.84,121,21,195
Apple,6.69,24.61,45.87,2616,907.72,105,26,185
Apple,6.55,18.78,34.72,3060,777.03,110,17,195
Apple,6.9,26.41,31.65,2827,670.26,104,20,232
