Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Beans,6.46,21.93,57.31,1012,539.51,82,30,91
Beans,6.67,19.5,66.94,902,588.4,116,29,115
Beans,6.08,18.89,62.51,1013,568.0,96,39,85
Beans,6.44,23.18,67.08,721,505.15,88,26,96
Beans,6.42,20.05,65.99,878,630.9,82,36,120
Beans,6.03,22.51,60.61,1145,626.55,88,25,88
Beans,6.21,18.46,63.34,628,524.2,101,27,102
Beans,6.49,20.7,55.75,1190,560.53,101,40,99
Beans,6.1,18.37,50.42,1476,515.64,109,20,86
Beans,6.69,21.68,64.19,8,581.59,107,36,96
Beans,6.84,21.84,54.43,1319,562.42,104,28,96
Beans,6.68,24.98,65.91,939,696.8,103,33,110
Beans,6.22,24.96,66.61,1257,643.01,106,30,85
Beans,6.14,19.4,54.28,610,558.99,109,20,116
Beans,6.53,23.45,66.7,563,530.91,89,28,119
Beans,6.43,23.14,69.89,984,507.75,94,27,105
Beans,6.91,18.53,54.08,515,685.22,86,37,106
Beans,6.5,20.59,63.26,811,542.25,100,39,88
Beans,6.83,20.32,66.88,1253,618.26,98,23,100
Beans,6.49,22.46,53.82,1429,614.9,110,29,93
Beans,6.21,21.77,64.38,408,513.8,85,36,115
Beans,6.27,24.15,62.2,628,588.97,89,33,98
Beans,6.31,19.36,66.05,1043,597.1,95,36,109
Beans,6.67,21.51,61.09,621,508.68,81,21,116
Beans,6.56,18.5,60.56,204,693.11,108,32,115
Beans,6.39,23.43,69.08,473,534.78,89,36,111
Beans,6.83,19.27,59.18,510,644.4,83,25,113
Beans,6.24,24.31,50.05,742,605.37,99,35,109
Beans,6.84,22.52,54.75,696,509.71,108,23,106
Beans,6.9,20.13,51.16,1080,688.84,111,24,108
Beans,6.76,24.73,53.28,791,639.46,111,29,95
Beans,6.61,23.23,68.57,1092,504.69,98,32,81
Beans,6.77,18.69,59.29,188,541.57,119,40,98
Beans,6.3,23.65,62.57,1038,542.97,117,39,91
Beans,6.01,21.13,50.34,1048,504.17,110,25,111
Beans,6.27,23.82,69.11,728,555.4,118,26,90
Beans,6.36,24.31,66.14,222,688.49,120,20,120
Beans,6.59,23.8,56.11,393,685.68,80,22,105
Beans,6.28,19.83,67.33,430,582.09,80,37,88
Beans,6.59,23.8,58.35,281,555.68,106,24,101
Beans,6.89,19.16,53.85,1035,558.99,87,39,108
Beans,6.42,23.23,63.41,59,616.44,106,23,94
Beans,6.44,23.31,60.98,620,672.07,100,32,103
Beans,6.25,19.56,59.22,536,661.54,120,20,85
Beans,6.98,20.78,60.84,461,665.13,99,20,91
Beans,6.49,22.32,60.94,1164,660.9,94,20,93
Beans,6.31,24.17,56.93,591,677.17,111,33,83
Beans,6.95,19.71,55.14,369,698.8,83,33,110
Beans,6.78,18.53,53.36,526,539.79,104,26,101
Beans,6.77,20.78,57.07,139,550.84,83,24,80
Beans,6.13,18.05,53.94,1412,587.68,87,26,107
Beans,6.93,21.75,69.49,870,635.04,91,26,118
Beans,6.9,18.28,52.85,99,602.22,119,32,86
Beans,6.67,20.83,58.07,509,586.42,96,27,119
Beans,6.12,23.63,54.28,408,632.73,89,22,95
Beans,6.53,23.93,52.64,153,614.7,119,38,93
Beans,6.73,20.21,55.13,535,510.88,115,36,81
Beans,6.34,19.73,58.63,999,678.64,102,38,109
Beans,6.71,18.39,69.81,883,621.31,99,28,100
Beans,6.85,21.5,61.18,1133,513.81,84,21,95
Beans,6.25,19.43,64.15,168,607.24,116,25,106
Beans,6.16,20.95,52.13,699,504.24,81,38,113
Beans,6.1,19.06,60.9,274,607.43,99,38,103
Beans,6.44,19.36,64.58,1135,512.55,99,24,115
Beans,6.19,18.78,68.64,1200,659.78,112,40,116
