Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Broccoli,6.3,19.31,41.77,563,663.38,81,22,118
Broccoli,7.34,20.95,56.13,857,612.91,101,40,83
Broccoli,6.75,20.93,59.02,470,739.11,120,39,100
Broccoli,6.67,18.18,46.0,1031,618.99,102,27,114
Broccoli,6.0,20.14,51.38,1266,624.04,96,28,90
Broccoli,6.87,19.54,46.95,702,686.56,102,37,94
Broccoli,6.06,22.14,45.24,1329,771.95,104,23,100
Broccoli,6.68,20.86,55.51,842,707.46,91,35,90
Broccoli,6.93,22.68,40.81,187,656.47,120,27,80
Broccoli,7.43,20.71,50.42,966,797.76,118,27,119
Broccoli,7.34,22.81,51.3,572,639.31,86,27,90
Broccoli,6.91,22.62,47.56,1440,662.07,111,23,83
Broccoli,7.31,19.23,42.18,1281,777.28,112,39,100
Broccoli,6.33,20.65,42.16,116,796.76,94,27,110
Broccoli,7.47,19.32,53.38,825,690.42,94,39,116
Broccoli,6.77,18.4,53.4,848,613.96,92,20,94
Broccoli,6.08,21.89,49.66,205,703.91,82,35,114
Broccoli,7.26,22.01,58.56,347,774.76,80,29,82
Broccoli,6.21,18.14,48.9,227,760.33,116,21,88
Broccoli,6.02,21.16,50.7,1240,731.45,105,20,81
Broccoli,6.84,18.29,44.65,1454,696.71,108,38,120
Broccoli,7.31,21.98,56.57,62,712.87,105,39,95
Broccoli,6.59,20.22,59.61,272,739.62,113,38,116
Broccoli,6.82,20.52,52.66,912,752.47,88,28,116
Broccoli,7.09,22.81,43.86,645,709.4,85,38,117
Broccoli,6.19,21.5,58.05,1089,785.97,93,37,88
Broccoli,6.71,22.98,44.6,702,697.43,111,22,87
Broccoli,6.5,18.48,56.84,347,794.22,99,20,103
Broccoli,7.2,19.51,51.03,602,615.37,80,26,89
Broccoli,6.2,19.38,46.43,1328,668.69,110,33,113
Broccoli,6.66,21.01,53.09,281,679.84,113,33,97
Broccoli,6.97,22.77,50.28,889,624.49,97,31,98
Broccoli,6.56,18.53,55.06,923,741.11,109,28,112
Broccoli,7.49,22.19,56.76,1315,667.87,93,25,104
Broccoli,7.13,22.18,46.52,1064,702.92,96,28,91
Broccoli,6.39,19.64,41.5,577,607.01,113,28,112
Broccoli,6.54,21.98,47.61,1349,660.67,100,20,120
Broccoli,6.96,22.68,51.13,854,752.17,120,29,106
Broccoli,7.33,22.24,40.21,1492,747.56,120,37,89
Broccoli,6.69,20.11,49.39,1316,657.09,118,26,100
Broccoli,6.55,21.83,51.84,112,774.95,101,23,90
Broccoli,6.7,21.22,59.68,1396,627.23,81,21,100
Broccoli,6.97,22.66,43.29,800,744.62,89,22,95
Broccoli,7.13,20.18,56.53,159,687.4,108,35,105
Broccoli,6.13,22.19,57.11,618,735.49,103,40,110
Broccoli,6.22,20.96,54.68,447,606.65,88,31,86
Broccoli,7.16,19.67,46.92,1298,705.39,107,33,87
Broccoli,7.23,21.71,58.09,209,655.19,116,31,80
Broccoli,7.07,20.18,54.68,556,623.17,94,24,106
Broccoli,6.82,18.16,56.45,955,726.69,96,37,118
Broccoli,6.26,22.71,40.55,470,742.08,114,24,105
Broccoli,7.23,20.82,54.42,875,651.9,82,36,120
Broccoli,6.17,20.69,47.81,409,746.27,103,36,92
Broccoli,6.37,21.22,43.34,1158,716.48,119,32,95
Broccoli,6.36,20.69,47.77,151,738.75,95,30,96
Broccoli,7.22,19.31,52.9,287,694.16,102,26,84
Broccoli,6.61,22.62,56.51,322,725.11,109,34,89
Broccoli,6.22,23.0,45.24,761,726.35,80,20,94
Broccoli,7.18,18.59,50.89,604,640.61,108,31,101
Broccoli,6.24,19.97,53.69,521,792.8,96,28,90
Broccoli,6.53,22.41,45.66,473,623.36,98,32,91
Broccoli,7.07,20.11,48.48,259,700.08,89,30,109
Broccoli,7.01,20.44,59.33,84,704.23,120,30,83
Broccoli,6.95,20.82,42.58,1292,786.79,111,32,116
Broccoli,7.26,18.12,49.56,409,742.96,88,22,94
Broccoli,7.48,20.24,56.86,1481,725.79,117,31,91
Broccoli,6.25,20.15,59.45,1445,627.93,110,33,80
Broccoli,6.35,18.63,57.78,108,625.44,81,25,95
Broccoli,6.95,22.4,55.43,1080,762.57,101,27,113
Broccoli,6.12,20.96,48.52,1053,752.9,80,37,90
Broccoli,6.02,18.93,55.97,1305,717.95,83,38,99
Broccoli,6.48,18.15,41.66,263,767.12,114,26,104
Broccoli,7.27,18.92,41.49,173,671.1,99,25,88
Broccoli,6.26,19.52,40.96,1367,666.01,112,28,120
Broccoli,7.38,22.01,53.67,493,746.4,111,35,90
Broccoli,7.25,21.53,42.55,877,722.19,87,30,99
Broccoli,6.46,22.45,52.65,1273,792.95,83,25,112
Broccoli,6.22,22.36,43.35,872,735.21,97,33,115
Broccoli,6.28,19.56,43.15,207,745.38,105,37,109
Broccoli,7.41,22.06,56.14,1389,790.77,81,25,91
Broccoli,6.54,21.94,43.51,887,787.22,106,39,103
Broccoli,6.3,18.74,50.73,535,615.05,95,33,98
Broccoli,6.24,21.34,48.15,1049,687.57,112,30,120
Broccoli,7.01,18.07,51.79,887,604.92,110,25,85
Broccoli,6.28,21.23,54.91,175,683.53,104,24,93
Broccoli,6.8,21.07,48.05,798,732.64,111,40,109
Broccoli,6.48,20.58,42.69,1425,682.29,88,37,95
Broccoli,7.3,18.59,44.63,379,781.13,109,22,117
Broccoli,7.37,19.5,58.15,986,691.37,120,36,120
Broccoli,7.35,21.81,46.29,1422,684.39,80,39,108
Broccoli,6.68,18.14,52.09,1350,760.49,97,35,82
Broccoli,6.56,19.35,44.02,1205,689.56,107,20,115
Broccoli,6.62,21.53,44.12,688,640.72,86,37,92
Broccoli,6.2,22.97,57.59,1149,783.9,84,36,117
Broccoli,6.09,19.12,51.54,964,600.23,102,26,80
Broccoli,6.12,21.29,47.29,639,700.4,82,37,84
Broccoli,6.95,20.95,40.09,232,658.24,112,34,94
Broccoli,6.22,22.14,44.51,336,611.8,102,35,108
Broccoli,6.47,20.88,51.44,478,789.32,95,26,114
Broccoli,7.28,18.38,52.46,871,766.33,96,34,90
Broccoli,6.16,21.05,57.35,669,696.84,117,30,118
Broccoli,6.95,19.52,46.72,84,632.41,89,23,119
Broccoli,6.02,18.04,57.73,1072,741.04,96,22,84
Broccoli,6.73,21.95,41.89,1487,666.17,109,33,84
Broccoli,6.42,19.13,56.96,1207,713.08,95,29,87
Broccoli,7.49,21.06,57.19,1148,625.32,101,20,92
Broccoli,7.15,22.25,43.93,1443,677.82,89,31,101
Broccoli,6.68,19.93,42.12,811,742.9,104,29,95
Broccoli,6.93,18.61,40.36,1259,726.69,91,37,83
Broccoli,7.43,19.92,57.29,233,653.48,83,35,93
Broccoli,6.27,18.85,48.13,1470,634.66,99,40,117
Broccoli,7.39,18.36,48.57,1085,643.65,105,36,99
Broccoli,6.59,22.76,46.35,750,681.13,113,32,101
Broccoli,7.36,21.42,50.52,464,615.92,118,32,92
Broccoli,6.38,20.67,46.87,1303,732.73,84,30,87
Broccoli,7.46,18.08,45.68,1171,608.02,87,35,106
Broccoli,6.79,21.91,46.47,1387,627.13,84,21,111
Broccoli,6.71,21.41,59.11,1097,681.4,106,25,82
Broccoli,6.44,22.63,59.11,640,708.25,101,26,100
Broccoli,7.36,19.87,42.45,990,649.85,113,31,105
Broccoli,7.19,22.57,49.97,847,613.6,85,32,100
Broccoli,7.23,18.87,59.82,767,602.33,112,37,113
Broccoli,6.06,19.14,45.45,892,732.04,82,24,115
Broccoli,6.08,21.44,50.76,468,628.81,114,22,83
Broccoli,7.06,21.02,58.65,229,700.53,97,34,112
Broccoli,6.83,21.23,58.96,1421,695.78,92,24,107
Broccoli,6.64,21.9,56.21,710,750.79,94,26,110
Broccoli,6.06,19.64,47.59,811,674.51,104,40,88
Broccoli,7.47,18.4,45.12,1057,666.62,112,26,83
Broccoli,7.19,18.36,42.69,1159,713.85,86,36,113
Broccoli,6.45,22.39,42.9,873,697.81,91,36,87
Broccoli,7.33,20.98,55.94,455,663.57,94,37,85
Broccoli,7.24,22.48,55.75,142,647.03,86,34,119
Broccoli,7.27,18.74,50.28,1085,703.06,103,28,117
Broccoli,6.25,19.44,46.58,1486,793.16,87,26,91
Broccoli,6.59,22.52,41.08,231,643.89,82,31,114
Broccoli,7.01,21.86,46.86,840,677.63,108,31,105
Broccoli,6.81,21.4,43.27,1313,788.63,120,36,102
Broccoli,7.24,22.84,50.41,470,609.89,120,33,82
Broccoli,6.12,19.9,49.38,872,771.89,100,29,81
Broccoli,7.12,19.31,45.88,1323,644.26,95,33,96
Broccoli,6.32,18.58,44.55,1106,793.15,80,36,103
Broccoli,7.28,22.96,59.78,360,761.65,118,20,103
Broccoli,7.11,18.75,58.88,431,680.99,105,39,105
Broccoli,6.89,19.42,44.22,204,791.31,119,39,84
Broccoli,7.46,19.58,41.58,334,618.79,101,31,99
Broccoli,6.75,21.22,51.21,537,622.47,120,33,81
Broccoli,6.82,21.03,52.23,735,706.0,103,31,102
Broccoli,6.54,20.99,47.6,952,724.48,105,25,87
Broccoli,7.06,21.78,58.36,529,789.62,101,27,119
Broccoli,7.14,21.66,50.33,794,703.23,119,21,99
Broccoli,7.26,19.73,52.61,1104,770.09,90,32,98
Broccoli,7.16,19.12,50.91,1362,635.51,80,36,111
Broccoli,6.17,22.89,51.25,179,664.06,112,31,95
Broccoli,6.07,20.56,50.33,915,650.06,93,25,120
Broccoli,7.06,19.67,59.75,659,606.74,93,39,96
Broccoli,7.14,18.89,56.25,121,623.13,120,23,98
Broccoli,7.33,20.23,52.15,1208,730.31,83,30,81
Broccoli,6.96,21.16,42.74,563,769.54,96,29,100
Broccoli,6.29,18.1,44.08,1084,781.28,102,34,88
Broccoli,6.59,21.85,40.06,678,649.08,90,22,84
Broccoli,6.02,21.48,55.4,1283,641.41,112,39,91
Broccoli,6.83,21.2,46.85,369,635.13,107,35,92
Broccoli,6.38,19.57,53.31,535,747.29,114,24,115
Broccoli,6.04,20.91,59.45,1228,750.98,119,29,85
Broccoli,6.56,22.37,49.36,117,711.55,106,35,81
Broccoli,6.99,19.4,55.48,950,704.32,110,30,108
Broccoli,6.31,20.57,48.83,630,706.16,100,23,105
Broccoli,6.71,20.13,55.05,332,758.18,115,40,84
Broccoli,6.71,22.56,52.83,671,696.23,82,20,86
