Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Buckwheat,6.93,22.85,52.27,2172,451.91,87,41,95
Buckwheat,6.45,15.5,54.99,2228,541.38,71,34,97
Buckwheat,6.58,18.27,60.54,670,406.65,91,36,84
Buckwheat,5.84,18.38,63.67,2572,474.53,79,34,91
Buckwheat,6.01,16.71,54.4,1879,581.81,80,34,61
Buckwheat,5.77,22.47,52.79,2667,415.05,77,32,89
Buckwheat,6.7,20.48,52.44,993,451.14,70,49,93
Buckwheat,6.24,19.06,67.31,2342,576.04,69,47,88
Buckwheat,6.75,16.64,67.03,1963,518.86,74,32,64
Buckwheat,6.46,21.56,58.63,878,499.15,75,50,69
Buckwheat,5.56,24.37,56.23,1420,519.39,73,50,95
Buckwheat,5.69,21.53,58.53,1664,555.73,72,32,84
Buckwheat,6.17,23.1,52.53,1727,440.02,89,35,98
Buckwheat,5.8,23.14,65.68,644,457.06,93,38,100
Buckwheat,5.5,19.2,51.91,1456,563.87,97,35,85
Buckwheat,5.54,22.34,56.8,504,528.36,67,49,95
Buckwheat,6.76,24.85,68.11,2271,544.66,83,34,87
Buckwheat,6.84,21.55,66.78,1176,421.29,64,46,93
Buckwheat,5.76,23.03,61.17,2535,530.34,89,35,66
Buckwheat,5.53,16.18,66.27,1304,452.1,70,44,100
Buckwheat,5.65,21.37,53.63,1058,499.55,74,47,74
Buckwheat,5.59,18.23,68.77,1424,557.99,78,39,88
Buckwheat,6.99,17.11,61.31,2459,414.56,89,31,88
Buckwheat,5.52,21.96,61.05,1339,519.74,75,36,68
Buckwheat,6.8,20.98,54.61,2620,488.85,99,36,95
Buckwheat,6.01,20.56,56.65,2774,528.5,71,45,86
Buckwheat,6.81,24.38,61.31,2177,443.12,64,49,64
Buckwheat,6.86,18.89,51.14,2366,537.86,60,50,81
Buckwheat,6.95,20.69,68.73,150,509.44,75,36,69
Buckwheat,6.14,22.17,57.52,1414,432.64,80,41,68
Buckwheat,5.81,21.6,58.5,2227,493.06,66,39,83
Buckwheat,6.01,18.72,58.84,303,582.56,98,37,90
Buckwheat,6.57,16.01,58.58,512,461.16,95,39,96
Buckwheat,6.7,21.19,63.69,2698,445.94,93,33,67
Buckwheat,6.6,19.63,56.85,499,559.12,85,50,97
Buckwheat,6.47,19.22,57.35,2390,407.75,99,50,90
Buckwheat,6.88,19.91,56.93,2714,537.71,60,49,71
Buckwheat,5.58,17.16,63.34,2312,415.46,93,40,94
Buckwheat,6.9,18.18,62.85,1880,419.65,99,48,75
Buckwheat,5.93,17.08,55.28,308,495.3,63,41,78
Buckwheat,6.52,23.25,59.56,1245,461.58,72,40,71
Buckwheat,5.92,17.07,53.49,513,432.59,97,48,79
Buckwheat,6.14,24.18,50.27,1006,513.91,87,42,90
Buckwheat,6.6,21.66,50.79,1269,412.02,71,38,89
Buckwheat,6.47,16.52,65.31,429,437.02,87,47,97
Buckwheat,5.77,21.81,64.57,2303,574.27,62,31,98
Buckwheat,5.97,19.98,63.92,1199,455.2,60,46,94
Buckwheat,6.73,22.52,69.12,640,408.72,99,32,90
Buckwheat,6.52,17.03,50.97,706,480.97,66,39,70
Buckwheat,5.9,24.37,67.36,904,446.34,77,32,72
Buckwheat,5.87,19.03,55.49,2528,524.35,61,42,62
Buckwheat,5.69,17.22,50.06,1640,477.32,63,38,100
Buckwheat,6.58,17.63,57.13,2197,530.54,76,40,92
Buckwheat,6.77,16.05,50.62,2710,449.85,65,40,86
Buckwheat,6.11,15.57,63.67,971,538.23,83,41,93
Buckwheat,6.23,19.04,60.72,2816,515.43,94,43,81
Buckwheat,5.61,18.79,59.31,1844,553.03,63,37,71
Buckwheat,6.72,20.6,56.53,2909,514.72,72,46,64
Buckwheat,6.18,16.49,69.57,2761,449.85,86,30,63
Buckwheat,6.36,15.57,50.78,2059,465.76,70,37,82
