Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Cabbage,7.29,18.73,58.4,1240,934.47,93,28,111
Cabbage,6.59,20.82,68.81,1356,679.0,89,31,111
Cabbage,6.34,24.46,64.87,302,907.45,83,20,84
Cabbage,6.03,23.24,62.5,699,890.36,86,40,97
Cabbage,6.13,21.45,62.47,640,798.22,113,28,109
Cabbage,6.09,21.88,65.04,531,909.49,117,38,93
Cabbage,6.0,24.23,55.61,194,618.02,92,40,88
Cabbage,6.57,24.18,62.65,624,775.63,98,21,104
Cabbage,6.79,20.38,61.81,1444,712.78,82,32,120
Cabbage,6.07,21.22,63.52,905,931.1,86,23,103
Cabbage,6.96,18.72,58.75,307,789.44,109,20,118
Cabbage,7.31,20.81,63.8,174,687.01,109,29,115
Cabbage,6.11,15.49,60.84,1416,975.51,116,25,119
Cabbage,6.24,19.69,65.35,497,790.35,116,33,107
Cabbage,6.33,20.86,69.93,1017,788.53,104,37,93
Cabbage,6.3,16.38,66.24,426,790.41,94,25,119
Cabbage,6.22,17.34,55.41,1024,667.44,118,24,80
Cabbage,6.55,18.18,67.0,423,811.91,103,22,94
Cabbage,7.29,17.5,65.39,919,847.64,80,29,93
Cabbage,7.28,23.98,68.42,497,813.36,80,31,116
Cabbage,7.45,18.03,59.76,396,639.26,98,33,99
Cabbage,7.2,22.61,58.97,1480,820.7,89,26,91
Cabbage,6.65,20.11,65.24,1114,831.48,97,32,119
Cabbage,7.21,15.73,58.42,290,929.56,90,30,106
Cabbage,7.21,16.39,67.5,958,961.49,97,29,104
Cabbage,6.53,19.48,64.99,772,721.12,84,34,114
Cabbage,6.35,17.32,68.19,779,625.96,93,30,96
Cabbage,6.27,24.86,63.55,623,847.9,91,35,107
Cabbage,6.86,18.09,63.3,602,746.91,107,40,102
Cabbage,6.55,17.38,54.48,133,893.01,91,27,81
Cabbage,6.67,19.26,54.9,1486,795.23,105,25,118
Cabbage,6.86,23.45,58.38,904,987.51,112,25,116
Cabbage,7.27,23.58,66.8,1230,814.24,92,37,100
Cabbage,6.53,16.48,54.71,785,912.01,116,28,94
Cabbage,6.98,15.75,62.78,1085,688.31,82,32,86
Cabbage,7.47,24.2,69.15,996,825.54,100,38,100
Cabbage,6.74,16.68,51.79,673,681.7,101,28,104
Cabbage,6.17,20.78,58.65,222,881.92,120,25,89
Cabbage,7.49,23.03,57.64,221,853.77,102,39,80
Cabbage,6.12,19.7,64.39,226,955.8,103,26,91
Cabbage,7.46,17.44,55.26,1163,876.21,80,38,119
Cabbage,6.39,19.87,67.06,843,891.16,89,29,96
Cabbage,7.22,15.67,64.26,394,716.76,100,23,101
Cabbage,6.71,18.52,68.2,1422,610.91,112,32,87
Cabbage,6.56,19.49,68.21,528,912.67,87,28,102
Cabbage,6.87,21.63,67.73,476,659.6,89,21,95
Cabbage,6.18,23.38,58.52,1126,977.76,107,20,89
Cabbage,7.13,16.54,56.07,210,976.27,116,21,99
Cabbage,6.69,22.09,52.05,402,811.69,102,30,109
Cabbage,6.81,20.33,62.18,596,820.35,106,23,104
Cabbage,6.09,21.22,53.62,1100,967.2,105,38,120
Cabbage,7.3,23.21,68.33,947,891.02,87,34,80
Cabbage,6.08,15.5,54.03,1438,704.96,91,31,80
Cabbage,7.02,19.68,58.76,134,701.59,117,38,109
Cabbage,6.8,19.24,69.29,1176,622.14,114,20,98
Cabbage,7.35,23.18,68.89,1049,981.76,97,39,99
Cabbage,7.14,21.33,64.56,934,880.19,105,37,106
