Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Capsicum (Bell Pepper),6.16,24.42,65.84,1485,763.49,92,21,81
Capsicum (Bell Pepper),6.7,23.37,44.44,1129,624.64,98,20,84
Capsicum (Bell Pepper),6.77,29.09,67.64,705,658.46,87,22,107
Capsicum (Bell Pepper),6.36,28.45,54.48,145,657.03,85,21,103
Capsicum (Bell Pepper),6.94,24.56,49.37,671,603.89,108,28,97
Capsicum (Bell Pepper),6.21,22.56,41.88,912,616.62,86,35,98
Capsicum (Bell Pepper),6.59,27.01,49.29,1130,658.93,116,30,83
Capsicum (Bell Pepper),6.16,29.56,68.07,73,660.86,113,35,104
Capsicum (Bell Pepper),6.51,27.51,61.44,156,773.27,119,38,86
Capsicum (Bell Pepper),6.04,27.36,42.42,541,664.77,93,32,97
Capsicum (Bell Pepper),6.16,24.2,50.67,323,654.15,114,36,103
Capsicum (Bell Pepper),6.17,23.26,57.09,147,737.24,115,26,118
Capsicum (Bell Pepper),6.4,23.41,45.7,852,647.17,114,36,118
Capsicum (Bell Pepper),6.45,27.16,43.26,862,781.21,96,28,101
Capsicum (Bell Pepper),6.17,22.82,65.05,876,655.38,103,30,118
Capsicum (Bell Pepper),6.27,28.76,69.61,1064,727.07,89,22,81
Capsicum (Bell Pepper),6.2,24.37,61.75,599,709.53,80,23,85
Capsicum (Bell Pepper),6.63,26.53,40.01,1470,756.78,120,35,111
Capsicum (Bell Pepper),6.86,20.15,53.96,597,720.01,85,39,119
Capsicum (Bell Pepper),6.26,20.69,42.58,317,610.21,103,38,116
Capsicum (Bell Pepper),6.13,27.78,51.61,677,667.53,106,32,109
Capsicum (Bell Pepper),6.45,25.06,56.18,459,679.33,89,37,107
Capsicum (Bell Pepper),6.42,23.07,40.06,319,715.92,96,30,88
Capsicum (Bell Pepper),6.78,22.83,65.96,103,668.15,109,32,89
Capsicum (Bell Pepper),6.95,25.34,53.56,785,668.84,81,40,96
Capsicum (Bell Pepper),6.79,23.29,42.31,601,789.13,104,21,87
Capsicum (Bell Pepper),6.95,27.16,43.54,1325,664.38,117,24,83
Capsicum (Bell Pepper),6.71,25.78,57.39,80,789.96,82,31,94
Capsicum (Bell Pepper),6.93,22.91,42.38,859,767.0,118,26,110
Capsicum (Bell Pepper),6.44,21.74,40.15,147,733.29,118,28,98
Capsicum (Bell Pepper),6.19,28.2,52.51,1207,652.84,90,21,93
Capsicum (Bell Pepper),6.22,24.53,52.71,1054,722.27,109,39,101
Capsicum (Bell Pepper),6.82,20.98,59.3,1389,657.19,112,38,110
Capsicum (Bell Pepper),6.82,20.24,45.89,1308,690.08,90,33,113
Capsicum (Bell Pepper),6.1,28.69,63.43,1495,627.82,88,27,109
Capsicum (Bell Pepper),6.81,23.25,58.33,140,781.34,113,37,86
Capsicum (Bell Pepper),6.14,28.82,54.17,1101,646.05,94,32,119
Capsicum (Bell Pepper),6.02,26.1,65.31,76,669.97,107,23,102
Capsicum (Bell Pepper),6.62,23.36,62.22,1183,692.97,96,26,85
Capsicum (Bell Pepper),6.01,24.96,47.4,314,731.71,99,21,81
Capsicum (Bell Pepper),6.98,21.84,66.84,495,714.44,104,24,83
Capsicum (Bell Pepper),6.32,29.23,48.36,711,724.54,114,23,100
Capsicum (Bell Pepper),6.94,23.33,60.97,479,663.31,94,22,97
Capsicum (Bell Pepper),6.45,28.36,47.32,806,761.65,110,32,97
Capsicum (Bell Pepper),6.53,28.55,65.98,1324,743.87,96,20,112
Capsicum (Bell Pepper),6.99,21.88,63.5,1063,671.28,94,27,111
Capsicum (Bell Pepper),6.52,29.04,55.47,598,706.71,111,31,108
Capsicum (Bell Pepper),6.67,22.49,42.78,552,603.37,88,39,100
Capsicum (Bell Pepper),6.58,29.99,57.22,309,620.59,111,37,97
Capsicum (Bell Pepper),6.78,23.7,40.69,156,685.68,111,21,119
Capsicum (Bell Pepper),6.95,25.51,60.84,332,677.75,118,25,95
Capsicum (Bell Pepper),6.14,22.56,49.11,1092,610.63,87,20,106
