Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Cardamom,5.84,21.64,74.29,732,1657.08,58,51,64
Cardamom,6.46,19.58,70.39,837,1824.71,55,52,73
Cardamom,5.89,11.38,72.15,1204,1933.01,77,56,72
Cardamom,6.08,14.03,74.0,1137,1978.68,62,73,74
Cardamom,6.12,19.97,76.79,1077,1850.4,61,43,72
Cardamom,6.08,23.04,72.55,757,1646.84,56,80,93
Cardamom,6.26,25.16,82.71,1458,1930.63,52,61,100
Cardamom,6.38,30.1,87.76,1246,1868.13,44,51,63
Cardamom,5.72,28.45,87.35,675,1738.09,74,77,96
Cardamom,6.18,10.22,80.87,1247,1723.96,68,59,77
Cardamom,6.34,34.55,72.47,778,1835.51,44,51,100
Cardamom,5.78,28.66,79.04,1190,1925.91,80,73,88
Cardamom,5.8,19.07,79.77,753,1500.34,76,41,62
Cardamom,5.63,28.24,84.6,966,1524.15,50,53,68
Cardamom,6.39,20.61,87.74,767,1683.68,69,42,64
Cardamom,6.05,31.33,88.7,1215,2011.76,49,80,91
Cardamom,6.24,14.72,76.21,1077,2198.02,57,53,97
Cardamom,5.54,28.41,76.87,1197,1744.55,56,73,91
Cardamom,6.46,13.69,76.08,1022,2045.4,75,53,61
Cardamom,5.95,12.21,71.21,1133,2274.45,42,45,99
Cardamom,5.75,27.81,74.47,823,1970.78,77,59,96
Cardamom,5.54,29.36,85.28,907,2244.84,52,50,88
Cardamom,5.88,14.02,79.73,1019,1724.04,47,73,82
Cardamom,5.88,24.66,71.92,611,2218.52,55,48,96
Cardamom,5.84,33.14,73.29,1283,1949.95,60,80,89
Cardamom,6.47,20.2,81.93,672,2489.03,65,61,75
Cardamom,6.47,32.84,79.76,1178,1500.13,66,64,95
Cardamom,5.81,18.92,78.35,1121,1540.96,44,49,63
Cardamom,5.58,31.82,72.94,1241,1871.31,43,58,94
Cardamom,6.36,26.15,89.37,1280,1613.01,56,41,74
Cardamom,5.98,21.43,73.6,1310,1844.35,63,68,83
Cardamom,6.07,24.02,89.36,741,2149.25,79,62,77
Cardamom,5.93,32.66,72.92,1091,2272.36,63,57,88
Cardamom,5.78,11.34,79.36,966,1535.04,64,50,84
