Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Carrot,6.61,17.95,52.17,867,676.9,102,28,98
Carrot,6.61,15.35,66.33,851,602.32,111,32,95
Carrot,6.59,15.35,51.65,1127,555.97,84,37,87
Carrot,6.53,16.87,64.8,316,563.01,82,25,88
Carrot,6.88,16.28,68.79,1193,575.7,99,28,88
Carrot,6.71,15.44,64.85,220,695.25,115,28,87
Carrot,6.04,19.04,55.55,210,658.96,111,26,118
Carrot,5.58,17.77,62.43,1295,641.56,80,28,120
Carrot,5.72,17.59,58.82,1162,696.37,81,38,105
Carrot,6.08,16.56,60.49,772,601.35,110,23,80
Carrot,6.55,15.29,56.61,503,656.8,91,33,105
Carrot,6.33,17.33,68.36,367,616.38,105,30,81
Carrot,6.92,15.99,50.01,1026,571.79,101,35,91
Carrot,6.29,17.31,52.01,1024,575.58,91,27,82
Carrot,5.98,18.96,58.44,1477,690.66,99,25,88
Carrot,6.57,19.55,63.13,1215,685.16,85,28,94
Carrot,5.65,16.99,65.75,1380,525.67,100,34,102
Carrot,6.83,15.28,55.71,1427,566.92,120,27,82
Carrot,6.15,18.84,64.06,352,661.87,85,26,110
Carrot,6.77,17.17,61.26,997,591.35,85,27,117
Carrot,6.5,16.72,63.45,1075,503.85,99,34,87
Carrot,6.58,15.17,66.5,185,696.35,88,36,83
Carrot,6.64,15.47,58.86,1500,541.95,89,37,83
Carrot,6.18,15.75,51.87,1196,644.43,120,20,116
Carrot,6.16,17.97,67.4,308,614.77,114,21,84
Carrot,6.96,16.6,68.8,1426,539.64,111,31,109
Carrot,6.57,16.55,51.72,655,534.96,81,24,101
Carrot,6.57,18.04,55.53,1188,676.79,99,29,89
Carrot,6.11,16.97,57.7,506,687.85,90,24,120
Carrot,6.96,19.22,65.07,526,595.63,85,22,112
Carrot,5.98,17.9,58.7,1340,524.76,104,37,80
Carrot,5.99,15.33,59.33,857,519.36,100,35,95
Carrot,6.94,19.02,52.76,708,696.61,91,34,107
Carrot,6.94,19.56,64.66,33,630.0,113,27,93
Carrot,6.58,16.0,50.04,397,523.7,115,37,90
Carrot,6.4,17.52,50.78,705,530.1,91,27,92
Carrot,5.69,17.03,62.91,1482,511.24,105,35,120
Carrot,6.4,17.61,56.88,1173,514.36,117,21,93
Carrot,6.66,19.03,61.54,729,605.75,92,31,85
Carrot,5.9,16.85,62.96,56,580.7,96,39,98
Carrot,5.71,15.33,63.89,59,577.23,96,40,83
Carrot,6.19,17.66,68.73,864,677.14,115,21,105
Carrot,6.74,15.12,57.59,500,549.13,116,29,84
Carrot,6.15,17.22,51.32,605,545.78,96,31,85
Carrot,5.77,19.0,66.47,958,633.52,89,27,112
Carrot,6.59,18.1,64.66,486,562.8,87,34,101
Carrot,6.97,19.04,62.91,776,629.63,100,22,97
Carrot,6.05,16.09,54.74,980,593.93,100,29,99
Carrot,6.22,16.11,65.38,852,508.84,82,36,112
Carrot,6.51,16.46,54.39,1125,653.42,90,26,98
Carrot,6.39,18.21,50.84,800,560.13,81,24,104
Carrot,6.3,16.36,65.06,15,571.66,83,34,108
Carrot,7.0,16.15,61.27,303,506.37,100,33,82
Carrot,5.56,15.81,57.05,608,554.49,111,37,97
Carrot,5.58,19.38,55.83,946,585.73,101,24,94
Carrot,5.83,16.26,58.13,63,614.61,100,38,97
Carrot,5.87,18.33,56.71,540,684.84,91,39,96
Carrot,6.84,15.98,60.17,154,695.32,100,21,95
Carrot,6.26,19.41,58.17,713,507.63,103,38,109
Carrot,6.59,16.74,55.61,799,691.75,113,20,93
