Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Cashew,6.93,31.7,65.12,894,729.5,91,32,99
Cashew,6.01,22.36,42.69,127,1025.19,102,29,112
Cashew,6.32,21.66,43.28,778,858.08,100,40,85
Cashew,6.28,33.22,54.57,380,428.86,93,22,118
Cashew,6.16,34.7,58.22,859,1145.43,115,37,100
Cashew,6.06,24.95,66.17,686,495.02,91,26,101
Cashew,6.47,32.79,42.55,1058,1194.42,113,39,70
Cashew,6.63,23.51,44.34,453,929.07,108,27,72
Cashew,6.24,26.66,48.97,1354,446.22,105,22,86
Cashew,6.47,31.91,44.64,742,400.5,114,38,109
Cashew,6.77,29.69,48.85,670,727.3,100,23,93
Cashew,6.27,27.6,59.38,199,1049.0,102,24,90
Cashew,6.25,29.95,67.51,581,452.57,118,23,92
Cashew,6.51,32.58,48.61,980,670.56,93,30,84
Cashew,6.81,23.33,53.57,1419,686.66,118,29,100
Cashew,6.03,22.26,66.42,841,478.62,82,34,116
Cashew,6.29,23.28,49.6,1099,598.59,96,29,95
Cashew,6.02,22.05,54.75,460,432.76,85,34,72
Cashew,6.71,31.89,47.59,570,426.93,86,38,94
Cashew,6.12,20.76,41.86,529,922.43,107,28,90
Cashew,6.67,30.18,62.06,411,1027.29,97,20,117
Cashew,6.56,27.44,55.72,60,970.6,100,32,81
Cashew,6.57,27.94,49.58,1077,1110.14,111,33,86
Cashew,6.5,24.08,49.88,154,1005.75,84,33,101
Cashew,6.02,27.11,66.67,382,844.88,80,20,115
Cashew,6.74,31.57,42.4,477,935.46,109,35,76
Cashew,6.31,30.24,42.73,693,455.99,116,30,85
Cashew,6.39,30.01,55.16,859,1112.66,100,32,80
Cashew,6.35,27.86,54.01,474,914.37,101,31,81
Cashew,6.18,20.45,62.31,553,534.78,86,37,98
Cashew,6.48,24.47,51.75,847,466.98,114,25,81
Cashew,6.64,20.86,55.42,113,438.61,81,30,102
Cashew,6.22,20.43,60.18,399,517.72,80,21,71
Cashew,6.22,26.01,65.87,291,733.3,82,34,116
Cashew,6.14,22.19,48.21,1457,1126.43,104,21,105
Cashew,6.09,22.01,63.29,1444,1157.67,119,27,73
Cashew,6.21,25.62,61.44,448,1028.37,92,29,96
Cashew,6.59,33.54,46.4,298,429.76,82,30,81
Cashew,6.84,23.0,46.36,583,793.18,90,39,106
Cashew,6.59,32.83,41.27,570,421.74,83,26,120
Cashew,6.76,29.59,44.16,1015,645.01,100,35,87
Cashew,6.84,34.88,60.17,1106,719.46,80,27,80
Cashew,6.77,33.96,69.86,305,502.93,118,38,86
Cashew,6.16,20.4,62.32,172,930.11,84,24,107
Cashew,6.73,32.24,69.79,291,833.63,100,32,105
Cashew,6.89,24.91,55.52,748,701.58,89,22,74
Cashew,6.89,23.3,63.32,165,660.72,106,26,120
Cashew,6.19,20.36,60.81,1114,428.08,80,30,115
Cashew,6.84,34.95,42.87,1281,451.37,81,35,104
Cashew,6.18,25.18,49.41,1006,634.52,114,35,82
Cashew,6.69,29.27,56.97,652,508.31,107,21,73
Cashew,6.27,26.34,60.46,708,981.91,95,21,70
Cashew,6.96,23.27,52.54,750,751.45,116,24,73
Cashew,6.79,21.35,65.27,708,424.5,107,21,100
Cashew,6.46,31.31,63.34,434,848.44,80,21,79
Cashew,7.0,21.33,57.43,685,965.59,105,39,120
Cashew,6.34,22.7,66.18,70,479.27,108,24,118
Cashew,6.49,23.67,66.86,1375,985.33,93,23,82
Cashew,6.81,28.46,49.38,397,440.81,113,26,98
Cashew,6.61,29.57,54.28,629,872.29,116,36,88
Cashew,6.19,32.6,65.06,774,1109.98,99,29,119
Cashew,6.53,22.28,65.21,652,856.47,92,28,115
Cashew,6.84,21.39,55.86,1478,861.17,81,35,78
Cashew,6.97,26.4,43.41,103,858.86,84,36,87
Cashew,6.56,23.07,65.0,121,464.68,116,32,81
Cashew,6.29,34.04,55.74,524,821.11,82,22,84
Cashew,6.56,34.41,44.18,500,834.98,105,22,107
Cashew,6.24,33.75,63.01,1080,758.63,101,25,112
Cashew,6.66,26.66,58.56,950,685.24,90,24,120
Cashew,6.62,26.78,62.16,1233,1119.2,85,34,73
Cashew,6.09,20.44,58.64,311,1070.12,115,37,78
Cashew,6.52,22.11,65.15,859,681.21,117,37,107
Cashew,6.43,28.6,55.2,457,1035.75,117,24,71
Cashew,6.24,24.47,60.72,1415,904.14,114,26,74
Cashew,6.78,22.56,57.8,1074,771.2,91,24,73
Cashew,6.08,20.89,46.21,153,636.68,119,20,110
Cashew,6.91,22.11,40.01,793,557.3,116,37,83
Cashew,6.25,27.07,51.41,239,423.33,110,30,110
Cashew,6.05,28.21,67.36,697,1030.27,111,30,120
Cashew,6.52,26.11,47.47,1309,476.36,105,37,108
Cashew,6.87,34.7,48.59,906,628.03,100,31,81
Cashew,6.99,33.46,45.98,388,562.49,115,29,100
Cashew,6.42,33.03,40.42,421,494.82,104,32,95
Cashew,6.91,32.21,43.99,1364,452.75,112,27,87
Cashew,6.58,23.81,50.31,221,1144.95,84,34,101
Cashew,6.71,27.73,52.71,999,1011.06,115,37,110
Cashew,6.46,31.79,51.44,637,430.43,84,26,80
Cashew,6.97,22.91,62.16,722,732.25,99,22,95
Cashew,6.96,30.66,67.73,233,758.4,92,33,113
Cashew,6.43,31.53,63.24,155,1050.01,89,21,88
Cashew,6.1,26.39,49.09,646,781.22,101,32,88
Cashew,6.54,31.66,46.23,1458,520.51,94,39,83
Cashew,6.11,33.79,56.34,429,897.03,85,27,80
Cashew,6.67,32.97,60.4,997,1001.46,109,28,104
Cashew,6.93,30.15,45.72,512,972.23,102,24,102
Cashew,6.62,34.97,41.43,866,558.79,92,38,81
Cashew,6.73,28.49,62.65,653,1022.74,102,24,117
Cashew,6.1,23.84,66.31,1276,1132.98,90,30,102
Cashew,6.17,23.85,52.32,1146,671.4,93,29,105
Cashew,6.61,27.28,53.24,1104,893.73,96,38,119
Cashew,6.74,32.58,55.27,1236,678.63,115,28,73
Cashew,6.07,30.46,65.96,1395,819.4,120,26,95
Cashew,6.11,27.22,48.21,592,534.39,119,34,74
Cashew,6.93,24.63,45.73,739,929.14,108,24,97
Cashew,6.49,33.71,54.67,1258,465.08,120,39,87
Cashew,6.97,27.4,64.03,999,611.65,107,31,115
Cashew,6.75,27.91,51.31,894,1176.1,120,30,86
Cashew,6.56,21.99,56.39,1435,512.84,103,31,119
Cashew,6.97,31.39,40.09,1154,419.87,111,27,86
Cashew,6.26,25.18,41.26,1267,1154.32,91,39,96
Cashew,6.03,30.5,41.61,1400,693.29,118,23,114
Cashew,6.35,24.45,42.6,581,940.49,92,30,109
Cashew,6.99,33.16,49.7,1343,800.14,86,33,110
Cashew,6.22,26.78,41.01,591,1000.84,88,21,81
Cashew,6.01,20.51,61.1,601,629.74,92,31,89
Cashew,6.43,30.71,56.3,406,947.01,89,22,90
Cashew,6.31,32.11,64.1,205,1067.32,85,33,98
Cashew,6.82,29.28,44.05,1258,1037.0,119,39,114
Cashew,6.89,34.66,43.6,1040,400.4,102,20,115
Cashew,6.88,24.07,53.44,94,1039.19,88,22,95
Cashew,6.35,34.23,55.17,886,946.81,107,34,86
Cashew,6.54,34.52,63.94,1417,580.68,114,38,96
Cashew,6.57,24.03,60.01,121,618.94,87,26,93
Cashew,6.35,20.25,43.9,369,1090.26,84,23,105
Cashew,6.61,28.15,63.56,929,1068.43,106,20,98
Cashew,6.77,28.26,46.07,1482,773.67,100,24,73
Cashew,6.27,22.18,53.55,689,1118.7,93,29,75
Cashew,6.48,22.26,40.65,366,1063.44,98,30,71
Cashew,6.78,29.61,56.33,1448,477.23,89,40,104
Cashew,6.67,22.17,42.32,842,1011.83,89,35,92
Cashew,6.02,26.31,57.79,754,478.13,113,32,116
Cashew,6.93,21.57,48.39,151,1181.96,91,23,95
Cashew,6.84,21.94,49.0,868,1087.51,113,31,94
Cashew,6.46,33.3,53.02,112,520.8,107,29,103
Cashew,6.85,30.86,66.37,1282,470.46,98,29,117
Cashew,6.17,26.69,60.65,216,899.17,120,30,74
Cashew,6.75,21.16,50.25,315,1172.5,112,40,102
Cashew,6.6,22.3,50.96,1491,806.75,111,26,81
Cashew,6.7,28.69,55.6,446,1070.42,85,27,101
Cashew,6.33,20.62,65.03,846,506.18,115,20,89
Cashew,6.78,27.41,60.28,64,542.54,98,27,96
Cashew,6.99,28.61,47.07,544,562.49,103,28,97
Cashew,6.92,20.47,57.6,723,749.14,91,32,83
Cashew,6.29,20.39,59.59,425,741.34,95,34,94
Cashew,6.86,24.24,59.63,1151,1050.21,104,39,97
Cashew,6.14,26.0,56.88,763,863.21,113,26,106
Cashew,6.63,21.2,64.35,150,663.98,110,29,89
Cashew,6.02,26.67,56.34,110,765.2,96,31,105
Cashew,6.72,26.08,50.68,575,1099.75,104,21,97
Cashew,6.03,30.83,40.05,1370,511.83,91,34,99
Cashew,6.88,34.52,42.38,1255,1156.64,92,22,104
Cashew,6.83,30.68,62.12,972,1106.8,95,35,81
Cashew,6.46,23.48,60.97,1073,727.87,93,30,118
Cashew,6.79,26.63,48.41,1479,991.81,109,27,111
Cashew,6.16,30.71,57.1,441,1054.7,94,22,77
Cashew,6.47,23.34,49.97,1284,473.74,112,22,107
Cashew,6.84,22.32,46.81,1339,602.24,118,40,73
Cashew,6.92,33.62,64.15,1352,512.03,80,30,105
Cashew,6.1,25.6,64.81,1150,666.03,93,32,117
Cashew,6.16,27.54,51.93,1142,699.84,100,23,96
Cashew,6.55,24.56,47.75,785,466.68,113,31,79
Cashew,6.55,20.64,42.12,583,780.76,100,31,97
Cashew,6.94,20.75,67.59,355,770.11,100,33,92
Cashew,6.27,26.01,52.69,1296,518.21,120,28,100
Cashew,6.44,30.52,54.66,224,1135.53,100,34,78
Cashew,6.94,32.3,59.99,368,1049.25,95,35,81
Cashew,6.82,28.87,55.81,689,638.43,99,37,116
Cashew,6.41,30.43,64.67,178,551.77,110,29,101
Cashew,6.87,20.71,61.49,645,1158.63,106,31,94
Cashew,6.82,32.9,48.42,774,1063.68,84,25,94
Cashew,6.41,30.07,61.86,406,756.71,91,24,78
Cashew,6.22,33.62,50.92,107,1186.45,117,40,94
Cashew,6.74,31.42,57.65,449,1155.23,107,28,70
Cashew,6.35,25.29,58.3,664,470.09,103,34,76
Cashew,6.57,30.74,67.16,1193,566.51,113,26,93
Cashew,6.89,27.0,64.04,123,830.99,118,30,78
Cashew,6.87,26.63,50.52,857,521.23,104,26,91
Cashew,6.2,33.21,66.23,197,1102.02,111,22,87
Cashew,6.55,21.36,52.89,665,493.52,99,33,112
Cashew,6.5,24.63,47.95,1374,1158.92,100,29,98
Cashew,6.26,32.38,53.83,1216,1106.66,93,32,94
Cashew,6.79,33.9,58.12,304,860.44,111,35,92
