Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Coffee,5.6,29.77,77.84,1687,1966.77,62,24,70
Coffee,5.72,20.6,70.5,1101,1607.25,79,28,64
Coffee,5.38,26.21,66.38,1431,1803.54,68,32,79
Coffee,6.2,25.29,61.93,1941,1675.43,91,27,63
Coffee,6.19,25.19,73.64,1077,2096.58,68,36,80
Coffee,6.06,28.56,66.99,942,2244.8,87,21,96
Coffee,6.35,26.23,72.77,1680,1946.65,83,27,67
Coffee,6.46,27.97,75.54,698,2054.52,86,36,88
Coffee,5.1,22.41,60.17,605,2104.11,68,27,62
Coffee,6.09,20.08,76.12,1591,1848.18,86,22,66
Coffee,5.05,21.12,63.15,1757,1676.96,94,36,87
Coffee,5.74,26.64,74.44,879,2074.77,92,33,91
Coffee,5.75,29.12,62.41,1253,2383.84,89,35,73
Coffee,6.43,23.47,71.28,1030,2355.07,66,37,65
Coffee,6.16,29.51,69.45,814,1747.44,78,24,76
Coffee,5.49,24.77,68.27,1049,1887.18,88,36,77
Coffee,5.13,29.07,70.89,984,2372.83,81,24,62
Coffee,5.51,23.28,72.51,1885,2349.83,91,34,96
Coffee,5.99,26.17,74.27,935,2478.22,88,37,65
Coffee,5.6,26.91,64.07,1464,1536.98,93,39,62
Coffee,5.95,26.89,67.93,1992,2243.02,86,21,71
Coffee,6.35,25.17,72.8,1424,1640.92,93,22,89
Coffee,5.39,27.1,73.69,651,1892.24,96,26,66
Coffee,5.28,27.12,60.64,648,2024.44,63,24,72
Coffee,5.25,28.81,66.39,1904,1650.48,62,25,85
Coffee,6.34,28.73,75.63,1127,1834.67,75,33,60
Coffee,5.55,27.35,62.69,1858,2251.98,67,29,75
Coffee,6.25,25.47,74.96,1685,1858.36,98,30,81
Coffee,5.94,28.57,62.13,1633,1791.76,63,28,74
Coffee,6.41,27.47,78.29,1987,1968.94,76,35,91
Coffee,6.03,25.12,76.02,1369,2194.12,93,22,66
Coffee,5.92,29.21,79.87,2063,1790.3,76,35,78
Coffee,5.47,23.26,63.68,1937,2012.82,64,31,71
