Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Corn (Maize),6.77,25.97,64.42,224,713.73,136,45,149
Corn (Maize),6.34,23.27,60.79,987,794.8,133,36,138
Corn (Maize),6.12,26.17,65.17,1041,738.06,132,46,151
Corn (Maize),6.71,31.96,60.02,546,666.64,160,49,121
Corn (Maize),6.23,28.97,61.56,1078,771.29,148,46,144
Corn (Maize),6.1,22.87,63.03,548,695.53,124,46,172
Corn (Maize),6.09,24.27,66.85,206,763.07,140,35,147
Corn (Maize),6.79,21.61,68.1,913,798.27,143,34,120
Corn (Maize),6.42,34.13,68.6,545,785.38,148,38,140
Corn (Maize),6.59,21.48,61.52,1073,628.66,149,50,134
Corn (Maize),6.05,26.82,62.78,157,781.63,176,33,124
Corn (Maize),5.83,23.56,69.74,1006,744.28,175,40,143
Corn (Maize),6.57,20.09,61.34,332,670.08,126,43,159
Corn (Maize),5.92,31.38,66.58,664,737.29,126,46,177
Corn (Maize),5.92,25.44,65.38,720,611.31,169,33,166
Corn (Maize),6.79,25.15,63.27,1067,714.74,159,41,173
Corn (Maize),6.29,22.18,66.41,9,668.64,169,35,122
Corn (Maize),5.84,24.31,63.34,212,769.32,130,48,170
Corn (Maize),5.95,20.3,67.0,1187,749.36,131,42,134
Corn (Maize),6.85,29.72,62.87,410,685.64,180,40,155
Corn (Maize),6.15,25.53,68.38,1221,703.45,145,47,141
Corn (Maize),6.77,30.94,67.53,764,797.06,163,41,149
Corn (Maize),6.35,22.2,62.25,1031,623.85,169,45,144
Corn (Maize),6.1,20.93,61.98,920,751.22,177,44,180
Corn (Maize),6.12,25.87,62.97,794,659.37,158,32,158
Corn (Maize),6.79,25.08,64.68,294,729.37,162,50,135
Corn (Maize),5.97,31.83,68.37,1155,790.04,179,48,152
Corn (Maize),5.92,22.49,64.66,850,695.39,161,37,176
Corn (Maize),6.81,26.01,60.13,417,676.44,132,44,174
