Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Date Palm,7.51,17.58,60.45,847,439.41,42,36,109
Date Palm,7.75,27.25,46.54,192,144.38,97,20,113
Date Palm,6.36,22.36,53.67,553,464.29,51,24,43
Date Palm,7.06,20.41,59.71,347,298.43,64,36,53
Date Palm,7.13,25.6,42.25,929,376.55,48,27,76
Date Palm,6.26,20.86,67.16,921,378.59,96,31,73
Date Palm,6.11,28.41,39.91,676,319.18,103,40,66
Date Palm,6.5,22.97,42.89,951,176.32,90,40,115
Date Palm,6.71,28.05,45.03,689,106.69,62,37,101
Date Palm,7.81,15.65,67.73,602,423.06,100,29,81
Date Palm,6.89,27.49,54.77,940,274.76,52,20,74
Date Palm,6.15,16.44,55.19,710,286.24,94,28,115
Date Palm,6.07,27.97,30.82,486,196.37,42,36,32
Date Palm,7.21,26.06,30.08,622,111.27,119,32,66
Date Palm,6.8,28.94,59.82,903,435.75,46,21,69
Date Palm,6.51,24.46,60.82,698,458.98,110,37,103
Date Palm,7.86,26.18,51.21,553,349.87,69,35,112
Date Palm,6.55,21.23,54.15,615,239.78,95,20,64
Date Palm,7.9,23.37,65.78,177,240.71,115,40,58
Date Palm,6.24,27.45,46.17,320,369.41,117,32,92
Date Palm,7.28,25.95,35.73,165,399.79,42,29,49
Date Palm,7.08,28.68,55.66,415,392.31,88,36,34
Date Palm,7.73,21.27,58.17,916,402.39,60,27,42
Date Palm,6.76,15.7,48.18,703,108.67,86,40,85
Date Palm,7.39,19.88,69.02,304,487.98,105,33,49
Date Palm,7.63,21.27,58.21,875,247.48,80,37,36
Date Palm,7.47,20.57,44.5,883,484.82,74,30,106
Date Palm,6.65,20.22,30.82,199,189.88,100,38,40
Date Palm,7.98,26.38,41.13,904,421.05,99,36,54
Date Palm,7.52,26.29,68.11,537,134.11,46,36,99
Date Palm,6.87,23.46,45.44,629,253.91,120,31,60
Date Palm,7.28,25.99,37.05,493,422.37,118,22,39
Date Palm,6.69,15.82,31.3,972,132.38,60,39,64
Date Palm,6.55,24.13,59.02,577,160.1,82,21,58
Date Palm,6.91,28.87,63.63,839,309.43,53,30,78
Date Palm,7.19,26.45,62.27,362,354.78,70,31,82
Date Palm,7.67,19.28,55.71,419,362.4,76,40,30
Date Palm,6.65,26.34,60.36,836,218.03,55,38,76
Date Palm,6.47,20.16,57.98,550,397.93,83,29,69
Date Palm,6.7,20.97,50.18,375,218.25,106,40,61
Date Palm,6.86,25.23,47.37,724,441.97,82,24,94
Date Palm,6.32,17.3,48.86,910,247.89,52,26,38
Date Palm,7.87,25.27,32.04,387,248.1,63,31,108
Date Palm,6.47,16.97,50.38,342,298.61,85,27,112
Date Palm,6.63,21.84,36.34,278,266.39,42,32,38
Date Palm,7.0,17.65,33.22,66,100.27,111,30,93
Date Palm,7.83,28.59,63.47,926,315.1,95,38,107
Date Palm,6.24,29.21,52.73,692,363.7,83,33,44
Date Palm,7.12,28.78,68.58,739,305.71,63,32,72
Date Palm,7.54,18.6,68.37,167,158.69,73,38,35
Date Palm,7.06,15.89,41.14,694,467.16,85,20,86
Date Palm,7.97,26.62,41.27,690,123.79,81,29,62
Date Palm,6.67,29.27,61.29,154,277.28,91,37,111
Date Palm,6.64,28.82,37.18,586,399.79,98,31,47
Date Palm,6.79,18.83,37.24,302,410.49,62,33,68
Date Palm,6.97,29.35,30.74,619,296.15,42,25,73
Date Palm,7.01,24.05,61.08,511,458.18,54,23,96
