Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Dragon Fruit,7.38,23.74,60.22,1041,1150.14,173,40,156
Dragon Fruit,7.14,29.62,47.16,1100,348.46,187,24,110
Dragon Fruit,7.35,27.76,75.98,169,1100.27,159,33,135
Dragon Fruit,6.72,24.71,55.67,1019,709.42,166,26,146
Dragon Fruit,6.59,27.36,79.63,722,1032.77,164,28,162
Dragon Fruit,6.25,20.36,41.54,1246,1176.15,181,37,95
Dragon Fruit,5.91,27.42,49.56,720,868.83,160,22,120
Dragon Fruit,7.06,27.29,69.42,1194,1080.5,120,20,86
Dragon Fruit,5.5,28.39,47.15,158,1140.23,132,20,151
Dragon Fruit,7.15,27.21,51.78,839,195.6,133,37,148
Dragon Fruit,7.48,20.01,57.26,966,348.12,178,40,153
Dragon Fruit,5.76,25.39,65.36,334,1190.31,158,34,90
Dragon Fruit,5.6,24.71,40.23,806,352.07,151,40,142
Dragon Fruit,6.79,24.79,69.19,306,170.48,105,39,122
Dragon Fruit,7.3,27.45,65.1,744,967.52,155,24,169
Dragon Fruit,6.49,21.92,65.6,289,594.79,175,40,141
Dragon Fruit,5.85,29.64,49.48,856,1045.49,198,28,147
Dragon Fruit,6.05,26.46,53.5,351,1013.93,136,40,101
Dragon Fruit,6.76,29.7,73.03,1003,788.24,101,38,170
Dragon Fruit,7.37,21.4,48.66,800,1164.63,166,27,114
Dragon Fruit,5.63,22.9,73.03,304,660.27,160,22,141
Dragon Fruit,6.63,27.1,76.75,521,287.14,82,33,175
Dragon Fruit,5.92,21.05,48.97,438,683.66,88,29,132
Dragon Fruit,7.14,22.47,74.11,611,1232.08,147,21,123
Dragon Fruit,6.06,21.52,44.14,798,87.07,193,31,158
Dragon Fruit,5.69,25.68,52.66,987,713.94,139,25,86
Dragon Fruit,6.73,25.93,54.95,960,1047.11,123,33,101
Dragon Fruit,6.19,29.42,46.75,794,811.87,152,37,150
Dragon Fruit,6.23,26.95,64.63,221,776.32,106,36,152
Dragon Fruit,5.69,29.67,78.11,453,250.92,174,28,198
Dragon Fruit,5.57,28.92,52.29,1022,1284.55,119,23,147
Dragon Fruit,7.08,27.64,47.74,946,731.4,131,30,92
Dragon Fruit,6.85,27.52,63.52,1253,960.43,164,33,123
Dragon Fruit,5.67,26.25,49.29,1329,314.24,143,21,83
Dragon Fruit,6.76,22.78,66.77,1303,1097.14,165,20,183
Dragon Fruit,6.0,25.35,72.07,797,629.57,113,24,146
Dragon Fruit,5.85,22.7,48.46,281,208.19,80,30,176
Dragon Fruit,5.56,20.58,56.52,490,1133.66,171,20,82
Dragon Fruit,5.65,29.62,65.46,840,603.87,173,33,160
Dragon Fruit,7.21,22.62,74.7,1124,629.93,117,37,96
Dragon Fruit,6.06,29.89,75.31,703,417.37,172,30,192
Dragon Fruit,6.51,20.86,61.08,333,1079.85,141,32,127
Dragon Fruit,5.97,26.12,50.79,193,880.34,139,38,151
Dragon Fruit,6.47,25.93,67.82,874,448.61,95,24,94
Dragon Fruit,5.63,23.55,54.53,1132,173.64,101,22,96
Dragon Fruit,6.4,20.99,64.27,158,1227.66,133,28,103
Dragon Fruit,6.9,28.93,53.96,782,789.26,181,37,151
Dragon Fruit,6.66,29.22,46.24,243,383.96,167,34,128
Dragon Fruit,5.51,28.11,44.39,376,181.64,141,31,86
Dragon Fruit,6.49,22.04,44.72,687,1057.87,189,23,170
Dragon Fruit,7.04,25.92,45.39,1274,65.29,127,29,108
Dragon Fruit,5.82,28.5,59.92,418,938.11,81,35,196
Dragon Fruit,5.91,22.2,41.02,158,1082.97,102,21,109
Dragon Fruit,6.38,23.51,57.31,153,328.71,93,38,96
Dragon Fruit,6.5,22.72,45.87,1383,1214.97,119,31,146
Dragon Fruit,7.32,29.88,63.91,797,858.63,112,39,90
Dragon Fruit,7.43,21.45,59.37,227,256.87,118,37,92
Dragon Fruit,6.92,24.41,73.24,1397,983.7,81,22,123
Dragon Fruit,6.29,27.4,50.93,949,1282.12,97,22,125
Dragon Fruit,5.57,20.82,76.42,790,736.47,174,22,137
Dragon Fruit,6.53,26.32,66.16,670,1199.9,119,26,91
Dragon Fruit,5.95,21.59,78.25,968,1113.7,97,40,88
Dragon Fruit,6.28,22.19,59.13,798,471.11,190,22,117
Dragon Fruit,6.0,26.55,67.63,633,862.25,154,33,167
Dragon Fruit,6.91,25.59,49.66,533,778.11,142,31,112
Dragon Fruit,7.44,24.1,42.99,302,605.46,198,25,198
Dragon Fruit,6.35,20.07,77.23,837,738.3,193,32,160
Dragon Fruit,5.57,22.39,41.4,505,407.17,108,28,81
Dragon Fruit,7.05,23.02,44.74,1275,177.2,96,37,170
Dragon Fruit,6.56,21.42,64.82,188,445.86,179,39,169
Dragon Fruit,6.08,23.92,41.4,709,66.82,104,40,196
Dragon Fruit,6.05,24.57,48.19,501,987.91,154,20,126
Dragon Fruit,7.39,26.61,62.12,987,473.65,142,24,172
Dragon Fruit,5.96,23.98,58.77,848,72.66,93,38,196
Dragon Fruit,7.46,28.57,56.72,620,803.25,139,34,130
Dragon Fruit,6.78,25.89,52.76,1333,1089.01,89,26,183
Dragon Fruit,7.24,20.86,71.44,196,658.28,169,29,193
Dragon Fruit,6.39,21.33,53.33,290,1179.42,155,40,95
Dragon Fruit,6.72,20.9,71.56,860,169.53,180,30,125
Dragon Fruit,6.91,22.9,71.3,978,951.5,128,39,125
Dragon Fruit,5.98,25.56,50.19,700,824.47,145,39,81
Dragon Fruit,5.64,26.01,43.95,863,754.31,173,20,146
Dragon Fruit,5.54,22.09,74.49,782,1146.91,196,35,119
Dragon Fruit,7.1,22.26,74.53,1052,410.18,142,38,161
Dragon Fruit,6.48,21.85,53.66,1325,157.42,123,39,143
Dragon Fruit,6.06,26.3,72.57,913,1271.4,162,35,195
Dragon Fruit,6.63,25.69,59.17,205,258.09,128,21,122
Dragon Fruit,6.95,24.11,50.05,503,840.49,91,24,166
Dragon Fruit,6.14,20.24,45.7,1296,120.18,185,37,113
Dragon Fruit,6.94,23.24,78.0,931,89.68,196,36,89
Dragon Fruit,6.55,25.64,57.65,961,493.74,82,29,172
Dragon Fruit,5.99,24.67,56.84,1338,1281.93,143,27,149
Dragon Fruit,6.12,21.21,70.27,422,1253.8,98,31,161
Dragon Fruit,5.77,21.1,45.48,470,334.95,162,29,92
