Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Hazelnut,7.45,23.21,69.59,603,717.54,81,40,82
Hazelnut,5.61,24.34,78.54,1035,1038.3,113,27,95
Hazelnut,5.59,19.24,78.95,1172,903.85,105,27,118
Hazelnut,6.86,15.71,68.84,294,754.4,68,37,82
Hazelnut,5.93,13.88,69.83,1342,859.22,59,28,113
Hazelnut,5.64,10.67,51.73,1341,644.9,69,34,115
Hazelnut,6.93,20.24,60.86,1024,721.67,48,37,120
Hazelnut,6.34,14.74,72.61,927,928.46,119,33,86
Hazelnut,6.73,22.43,54.62,1434,858.34,114,23,101
Hazelnut,5.98,13.68,72.73,1326,636.54,47,36,87
Hazelnut,7.41,18.97,58.45,1023,646.32,92,26,87
Hazelnut,6.02,12.92,63.37,194,624.74,83,36,112
Hazelnut,5.95,18.54,75.15,594,827.86,70,33,117
Hazelnut,5.7,10.67,63.69,1357,1091.59,115,28,92
Hazelnut,6.7,12.06,71.95,1486,798.53,101,29,91
Hazelnut,7.15,17.54,54.16,76,893.54,91,20,88
Hazelnut,6.93,18.97,65.25,817,678.34,47,31,85
Hazelnut,7.42,16.26,68.53,1240,618.34,116,35,87
Hazelnut,7.16,11.85,68.6,1423,1104.66,105,24,98
Hazelnut,5.76,15.06,63.78,1452,719.13,56,38,105
Hazelnut,6.77,16.74,74.63,1042,724.65,62,27,96
Hazelnut,7.14,15.13,73.65,343,1126.18,103,21,80
Hazelnut,5.76,23.06,70.76,303,851.95,91,27,104
Hazelnut,5.68,24.26,50.16,939,1173.95,65,28,109
Hazelnut,5.84,24.23,66.23,365,764.05,111,20,112
Hazelnut,7.18,11.56,62.29,1304,1189.49,68,28,120
Hazelnut,7.32,16.06,59.48,210,602.26,83,34,111
Hazelnut,6.09,19.92,55.78,1145,1081.9,36,20,83
Hazelnut,6.72,16.41,78.19,696,1157.08,76,31,112
Hazelnut,6.28,24.68,54.33,1048,628.61,87,32,91
Hazelnut,6.98,20.03,60.55,1433,833.8,74,40,82
Hazelnut,5.56,12.96,74.31,604,888.8,110,24,111
Hazelnut,6.37,15.86,63.97,515,648.75,100,33,98
Hazelnut,7.49,15.56,51.85,840,617.44,90,39,102
Hazelnut,6.33,16.58,78.6,1453,777.7,93,32,92
Hazelnut,7.16,18.45,76.24,590,1000.01,96,36,82
Hazelnut,5.77,11.0,73.73,1255,777.7,76,28,101
Hazelnut,5.99,13.52,71.08,1462,654.84,53,29,110
Hazelnut,7.31,18.96,59.99,318,1124.36,116,35,118
Hazelnut,5.71,12.66,67.07,936,770.21,45,36,84
Hazelnut,5.86,21.38,66.44,1474,754.94,107,34,113
Hazelnut,7.15,11.71,67.27,213,865.67,50,33,112
Hazelnut,7.28,24.64,71.79,99,1025.69,76,35,97
Hazelnut,7.11,17.88,79.2,1103,946.2,58,35,86
Hazelnut,5.54,21.82,52.21,250,763.4,94,39,94
Hazelnut,6.95,20.89,55.43,1198,1097.61,30,32,81
Hazelnut,6.28,11.13,50.6,1435,825.45,68,20,86
Hazelnut,5.89,21.32,74.11,345,841.42,49,38,100
Hazelnut,5.72,10.38,61.16,670,827.02,105,26,85
Hazelnut,6.76,16.75,58.66,432,763.72,103,40,115
Hazelnut,7.36,18.25,57.38,1373,891.14,36,31,98
Hazelnut,6.56,13.41,65.79,264,831.94,53,26,98
Hazelnut,6.41,24.43,61.02,693,986.36,62,20,113
Hazelnut,7.25,21.42,63.16,1175,901.06,109,37,116
