Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Mango,7.07,18.73,59.22,625,811.22,100,55,101
Mango,6.78,22.96,60.06,203,846.65,88,48,152
Mango,6.56,26.99,60.7,501,1158.59,91,68,154
Mango,7.15,14.36,69.61,168,1236.06,95,47,173
Mango,5.97,14.73,55.44,817,1645.8,85,76,117
Mango,6.84,16.22,73.51,355,1242.52,83,61,119
Mango,5.53,16.92,69.5,532,1514.66,100,57,198
Mango,6.18,16.09,74.15,392,1211.66,96,65,192
Mango,6.22,17.51,68.72,336,1324.56,96,41,197
Mango,7.1,10.48,64.32,336,1351.37,98,75,122
Mango,6.28,18.43,68.66,229,1149.88,84,73,172
Mango,6.48,19.67,72.81,504,1352.21,86,72,176
Mango,5.57,16.6,73.2,723,1679.85,96,48,108
Mango,6.32,10.02,62.35,720,1763.67,85,43,183
Mango,6.52,17.84,65.34,406,1040.21,84,59,137
Mango,6.38,28.2,63.55,62,1610.66,91,86,116
Mango,5.61,19.65,72.02,339,1229.64,80,85,127
Mango,6.13,19.81,55.32,622,1543.96,85,40,120
Mango,6.41,20.75,59.56,125,1723.8,96,47,180
Mango,6.5,17.8,65.78,360,1393.95,95,67,147
Mango,6.02,11.52,59.85,445,1395.7,93,64,114
Mango,6.75,24.68,62.24,738,1619.25,95,73,121
Mango,5.81,27.62,70.13,458,1131.69,82,53,195
Mango,5.78,18.36,67.84,612,1582.62,99,62,143
Mango,6.48,11.88,64.66,290,1662.05,85,69,166
Mango,6.24,19.98,70.17,104,1487.09,87,72,178
Mango,7.08,16.28,61.65,509,1474.35,91,90,144
Mango,6.91,24.5,65.44,502,908.79,95,64,196
Mango,5.56,22.01,57.26,550,1208.78,96,62,147
Mango,6.48,11.96,63.13,160,1205.09,83,81,139
Mango,5.54,20.43,70.26,928,1710.84,90,88,125
Mango,6.15,20.49,59.93,98,1065.69,82,58,181
Mango,6.37,21.74,58.16,707,949.15,82,49,144
Mango,6.42,26.09,62.51,410,1182.74,85,65,172
Mango,5.58,29.4,71.6,656,1337.91,84,78,178
Mango,7.02,15.62,55.5,491,962.05,80,55,116
Mango,5.52,19.66,62.73,919,1463.37,98,45,190
Mango,6.81,23.01,62.37,510,1519.87,80,48,125
Mango,6.75,21.79,63.94,389,1319.77,97,56,108
Mango,6.4,17.98,55.63,114,946.48,91,45,164
Mango,6.77,26.01,73.12,684,962.48,82,68,150
Mango,6.27,11.42,64.13,440,1032.35,86,71,102
Mango,5.61,11.27,69.16,251,1241.05,80,55,178
Mango,5.91,17.25,61.71,888,1099.64,89,79,187
Mango,6.08,23.39,62.22,703,1041.76,84,65,151
Mango,7.36,29.18,68.33,125,817.06,97,61,110
Mango,5.65,15.09,56.63,648,1007.52,99,77,187
Mango,6.12,20.44,59.9,707,894.99,86,55,106
Mango,7.2,18.01,67.41,394,1584.62,86,85,138
Mango,6.26,22.13,67.06,543,878.81,92,43,105
Mango,6.6,13.9,67.3,367,1257.57,95,89,157
Mango,6.21,22.78,67.49,636,1185.68,81,78,127
Mango,5.55,22.59,63.5,195,1676.57,83,50,186
Mango,7.26,24.98,69.25,492,1637.06,99,86,143
Mango,5.89,30.0,71.55,524,1358.15,88,70,184
Mango,5.76,18.66,61.6,889,1138.81,98,52,179
Mango,6.88,13.15,61.23,680,1611.57,91,79,127
Mango,7.24,23.41,65.42,258,925.06,82,84,117
Mango,5.54,20.94,70.55,174,1182.01,86,63,171
Mango,6.49,14.56,65.47,681,1688.14,97,57,135
Mango,7.5,17.82,66.31,742,1437.46,93,87,137
