Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Millet,5.99,26.43,50.56,1185,626.07,93,43,70
Millet,5.97,21.22,55.74,1021,762.95,95,40,80
Millet,5.57,32.62,58.65,110,532.21,87,34,65
Millet,6.2,24.95,59.81,495,559.38,82,37,69
Millet,5.86,25.41,43.73,286,550.85,64,44,66
Millet,5.7,31.08,58.34,110,626.59,62,41,67
Millet,5.98,29.41,47.2,544,585.96,91,36,82
Millet,5.89,33.11,44.39,255,559.03,70,34,65
Millet,6.29,28.82,57.13,435,677.98,81,37,100
Millet,6.34,22.56,56.09,1037,669.4,92,36,74
Millet,5.02,23.08,49.59,643,758.67,85,46,99
Millet,6.85,25.78,56.52,176,788.86,66,32,97
Millet,5.52,23.82,57.1,1149,525.29,98,43,97
Millet,5.66,28.5,43.48,49,595.77,91,48,81
Millet,5.91,30.94,45.89,542,587.3,68,49,81
Millet,6.49,30.69,49.74,1225,774.91,97,31,72
Millet,6.56,27.07,49.68,219,504.04,83,39,98
Millet,6.24,30.18,44.14,157,660.74,92,38,92
Millet,5.18,26.54,59.33,1294,551.94,63,49,91
Millet,6.06,25.8,49.87,1436,572.83,82,36,97
Millet,5.89,22.78,40.74,999,513.57,97,40,71
Millet,6.24,32.97,52.9,485,596.92,81,41,92
Millet,5.96,28.56,43.65,1165,727.62,75,50,77
Millet,6.97,26.27,56.75,1242,555.64,68,42,99
Millet,5.21,25.35,49.87,846,666.67,60,33,94
Millet,6.59,32.73,42.5,1154,632.92,97,49,79
Millet,5.15,29.35,44.74,1284,616.01,73,40,93
Millet,6.09,20.31,40.44,1253,699.71,61,40,96
Millet,5.61,29.89,42.76,985,752.74,83,50,71
Millet,5.9,24.11,55.52,983,534.93,65,40,61
Millet,5.76,21.87,57.44,1329,658.18,84,42,73
Millet,5.64,26.3,41.23,1118,699.46,75,34,79
Millet,5.22,28.45,45.21,400,681.75,88,48,82
Millet,6.0,22.32,56.23,305,734.24,79,42,61
Millet,5.99,28.13,49.65,609,790.99,73,45,61
Millet,6.01,30.05,50.81,594,767.37,97,44,75
Millet,6.93,26.28,58.44,499,710.73,77,49,62
Millet,6.25,24.49,54.63,408,540.99,93,30,88
Millet,6.46,26.55,52.21,153,751.35,67,49,96
Millet,6.8,23.14,58.47,7,750.08,86,37,96
Millet,6.66,34.89,55.65,1478,581.34,74,40,80
Millet,5.16,34.18,46.08,545,564.1,75,35,75
Millet,5.33,28.61,55.59,1249,753.66,97,41,61
Millet,5.03,25.38,44.0,902,768.02,91,31,60
Millet,5.12,33.24,48.83,383,700.31,67,43,61
Millet,5.22,31.14,59.06,225,536.83,68,39,68
Millet,5.92,22.88,44.0,618,597.95,88,36,70
Millet,6.94,22.46,57.63,1312,557.83,80,48,71
Millet,6.16,22.41,50.1,524,668.21,70,49,65
Millet,5.37,27.56,52.32,5,553.25,73,31,71
Millet,5.15,30.99,55.49,84,610.47,68,30,96
Millet,5.85,31.66,47.49,876,759.57,72,32,89
Millet,5.23,33.09,47.8,1325,525.28,65,39,77
Millet,6.77,32.51,46.29,181,583.93,97,31,62
Millet,6.78,26.05,47.45,896,581.36,68,50,62
Millet,5.03,22.92,46.31,976,718.89,79,31,77
Millet,5.32,23.48,51.33,1315,648.23,64,32,61
Millet,5.38,29.16,45.75,632,761.32,74,36,99
Millet,5.9,24.96,51.8,1065,550.01,79,38,68
Millet,5.38,34.92,45.35,605,705.21,89,38,79
Millet,5.17,31.69,56.4,814,612.38,78,45,72
Millet,6.07,24.4,52.34,151,536.45,87,49,76
Millet,5.53,22.7,47.81,960,642.63,89,50,63
Millet,6.27,34.3,55.25,1247,682.72,96,43,100
Millet,5.69,26.57,49.04,500,548.41,68,49,89
Millet,5.25,25.7,46.94,591,629.26,98,41,100
Millet,6.15,35.0,45.5,960,673.16,77,44,96
Millet,5.72,24.84,50.91,877,694.54,89,31,83
Millet,5.95,32.5,41.23,622,628.51,71,48,74
Millet,6.21,27.86,58.95,545,515.64,80,30,77
Millet,6.16,32.41,42.09,797,744.61,96,48,84
Millet,5.03,26.48,56.41,1123,606.91,77,36,63
Millet,5.66,26.92,40.66,542,648.47,71,32,68
Millet,5.1,33.8,57.77,1107,740.52,72,36,97
Millet,5.66,31.7,44.0,21,712.46,87,37,86
Millet,6.88,22.66,55.45,783,703.1,79,33,73
Millet,6.0,32.59,53.03,1239,790.23,100,44,74
Millet,5.92,34.46,49.86,851,678.68,99,44,99
Millet,5.03,32.47,59.46,943,531.63,61,31,75
Millet,6.22,30.15,41.54,973,703.24,85,46,81
Millet,5.32,25.12,45.48,800,741.89,62,44,97
Millet,5.45,31.32,55.99,1466,768.23,60,33,89
Millet,6.26,21.07,48.84,1335,640.23,61,46,85
Millet,6.48,31.56,59.48,276,516.15,92,41,90
Millet,6.33,32.31,45.16,308,751.19,68,30,92
Millet,6.99,25.72,57.98,1363,591.34,76,39,67
Millet,6.64,28.06,47.5,50,616.25,94,31,80
Millet,5.9,25.02,53.35,386,610.83,77,34,82
Millet,5.9,26.77,44.78,383,555.95,69,37,87
Millet,5.84,25.43,51.38,1338,719.32,92,43,100
Millet,6.95,28.79,54.39,148,670.21,60,43,74
Millet,5.8,28.63,59.61,1094,575.98,95,31,64
Millet,5.81,30.21,49.35,869,789.58,90,47,74
Millet,6.81,24.15,59.97,1229,500.4,92,33,70
Millet,6.81,23.13,50.57,750,614.48,84,44,61
Millet,5.13,30.1,45.07,753,592.05,63,47,65
Millet,5.13,33.32,48.29,1448,654.32,97,34,87
Millet,5.33,20.49,44.15,254,674.34,70,49,81
Millet,5.29,29.9,59.96,907,658.76,84,34,65
Millet,5.22,22.69,44.07,261,665.92,83,50,84
Millet,6.77,32.27,42.43,915,581.31,83,42,98
Millet,5.69,20.47,43.8,810,686.1,64,47,76
Millet,6.19,32.53,52.53,549,614.9,91,30,61
Millet,5.25,31.43,58.13,1241,512.07,95,35,71
Millet,5.8,21.64,55.76,416,622.98,80,32,73
Millet,5.82,33.85,57.78,68,608.8,97,32,63
Millet,6.05,24.86,58.5,161,745.57,95,39,85
Millet,5.44,23.92,52.28,635,656.88,62,40,76
Millet,6.05,29.59,53.5,544,606.36,72,39,67
Millet,5.98,25.38,50.87,1269,553.32,60,34,86
Millet,5.21,27.12,42.41,1481,673.67,82,31,81
Millet,5.34,34.11,49.06,913,739.49,80,46,97
Millet,6.86,31.79,43.5,1085,738.31,75,41,76
Millet,5.97,25.57,47.12,1123,516.09,73,40,79
Millet,6.84,23.63,59.57,1140,574.15,94,44,83
Millet,6.45,26.36,56.89,703,656.46,63,48,100
Millet,6.74,30.41,58.97,407,657.69,86,39,90
Millet,5.67,34.91,52.57,542,784.58,98,32,69
Millet,6.43,21.52,57.31,193,665.98,79,39,98
Millet,5.86,22.76,43.68,29,545.68,92,39,98
Millet,6.6,24.85,49.68,593,569.11,75,34,75
Millet,5.74,31.91,52.89,1408,672.43,65,35,97
