Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Peas,6.49,20.17,54.91,1265,553.6,85,28,95
Peas,6.71,13.91,62.1,856,611.04,106,36,102
Peas,6.82,17.89,69.73,912,536.95,98,24,95
Peas,6.28,15.71,61.34,1371,553.72,108,28,85
Peas,6.55,15.84,61.02,1084,595.45,81,34,95
Peas,6.56,14.18,60.56,340,628.04,98,31,108
Peas,6.2,16.88,68.72,628,561.28,106,22,84
Peas,6.92,15.2,52.63,380,621.24,101,35,106
Peas,6.46,13.68,63.46,934,574.72,94,22,97
Peas,6.35,21.29,58.62,1066,599.21,91,38,106
Peas,6.79,13.59,61.06,1241,543.99,81,40,108
Peas,6.02,21.34,67.19,350,684.33,84,23,92
Peas,6.89,18.09,66.41,68,506.41,87,24,119
Peas,6.43,11.59,68.89,398,651.79,95,26,98
Peas,6.44,22.48,58.46,849,665.52,97,25,116
Peas,6.65,24.78,54.5,627,626.99,86,34,118
Peas,6.24,11.62,53.05,330,536.93,89,28,117
Peas,6.96,20.71,63.92,1389,698.62,89,34,111
Peas,6.1,18.31,61.13,514,584.51,80,21,93
Peas,6.46,17.84,61.79,317,636.79,86,23,118
Peas,6.44,17.85,57.9,376,546.17,94,35,87
Peas,6.81,11.0,61.97,1477,604.34,93,37,97
Peas,6.58,13.47,66.72,1031,638.06,86,23,102
Peas,6.22,15.33,62.51,1348,516.37,106,25,90
Peas,6.31,16.25,57.49,308,613.78,91,20,103
Peas,6.03,16.74,62.91,95,564.92,83,40,114
Peas,6.73,17.83,51.45,924,586.02,115,24,89
Peas,6.47,24.04,60.96,470,661.32,90,24,118
Peas,6.98,23.52,64.53,314,508.73,89,33,114
Peas,6.83,22.17,56.11,1154,602.11,119,20,95
Peas,6.54,23.35,52.24,478,518.74,106,32,90
Peas,6.59,16.76,67.75,1314,579.03,114,30,100
Peas,6.77,17.96,67.11,323,672.77,81,23,118
Peas,6.79,20.96,59.59,1480,623.43,106,23,101
Peas,6.26,16.62,64.78,1434,691.51,108,21,87
Peas,6.17,19.18,64.99,464,685.89,83,39,89
Peas,6.5,17.49,61.18,292,543.97,117,32,89
Peas,6.08,24.89,56.78,1191,607.36,120,30,82
Peas,6.71,15.61,63.85,700,564.99,116,38,111
Peas,6.14,20.43,67.52,551,579.79,93,39,97
Peas,6.92,10.92,59.59,1480,569.23,99,30,99
Peas,6.69,14.84,55.87,1375,577.27,106,26,110
Peas,6.24,16.18,60.59,973,522.04,98,21,80
Peas,6.76,11.53,64.07,672,676.95,100,30,111
Peas,6.38,22.19,55.18,1437,670.69,81,38,91
Peas,6.67,22.07,58.13,721,665.94,100,32,97
Peas,6.99,13.04,51.61,1178,607.79,105,20,100
Peas,6.75,16.56,53.02,1293,513.56,115,25,102
Peas,6.87,20.97,61.2,156,500.65,99,30,104
Peas,6.72,20.06,68.29,731,582.49,83,32,104
Peas,6.11,15.26,68.32,934,693.54,90,30,91
Peas,6.72,10.62,54.53,1287,542.86,95,22,108
Peas,6.18,17.26,59.29,503,686.14,83,24,87
Peas,6.99,23.89,66.0,1378,587.98,87,23,109
Peas,6.89,22.7,56.07,939,652.81,82,24,105
Peas,6.77,17.3,52.07,1056,550.05,88,25,89
Peas,6.88,22.02,55.77,204,698.01,92,29,108
Peas,6.83,21.74,55.81,718,589.29,109,38,104
Peas,6.84,16.82,68.19,76,694.78,111,37,103
Peas,6.35,19.09,55.5,244,571.34,114,30,114
Peas,6.24,10.42,53.86,1283,585.44,93,37,82
Peas,6.89,19.57,50.3,607,627.84,81,22,97
Peas,6.14,23.1,58.29,167,593.84,91,30,110
Peas,6.07,20.98,51.29,109,664.25,92,40,108
