Crop,pH,Temperature (Â°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Snake Gourd (Parwal),6.85,30.72,71.52,706,724.76,85,39,71
Snake Gourd (Parwal),6.48,34.83,62.34,437,646.11,89,33,93
Snake Gourd (Parwal),6.79,28.65,67.83,1087,645.82,96,46,81
Snake Gourd (Parwal),6.32,31.86,76.14,1328,658.78,87,43,92
Snake Gourd (Parwal),6.13,29.2,65.61,507,718.71,91,46,87
Snake Gourd (Parwal),6.17,25.77,75.97,280,791.53,85,31,79
Snake Gourd (Parwal),6.11,33.86,76.66,456,733.51,95,36,85
Snake Gourd (Parwal),6.65,27.25,65.04,1110,703.05,63,36,63
Snake Gourd (Parwal),6.57,32.07,70.59,802,619.61,92,49,94
Snake Gourd (Parwal),6.6,27.23,74.39,1293,755.68,77,50,63
Snake Gourd (Parwal),6.1,30.41,67.42,1338,636.25,87,38,88
Snake Gourd (Parwal),6.94,27.75,64.47,1336,711.04,69,37,88
Snake Gourd (Parwal),6.24,29.86,64.81,469,711.51,70,36,87
Snake Gourd (Parwal),6.57,34.94,70.6,1109,624.85,60,36,65
Snake Gourd (Parwal),6.3,28.0,76.82,1135,676.07,89,47,65
Snake Gourd (Parwal),6.96,30.49,76.5,1045,734.56,62,40,69
Snake Gourd (Parwal),6.59,30.66,75.27,928,673.13,98,46,94
Snake Gourd (Parwal),6.61,27.86,61.72,975,762.58,79,30,77
Snake Gourd (Parwal),6.59,30.28,73.04,1316,630.96,61,41,92
Snake Gourd (Parwal),6.09,26.15,78.02,1420,761.41,83,37,71
Snake Gourd (Parwal),6.3,32.27,72.23,417,730.6,79,47,70
Snake Gourd (Parwal),6.95,34.13,75.24,659,625.06,73,49,96
Snake Gourd (Parwal),6.44,31.86,70.41,323,606.85,61,39,79
Snake Gourd (Parwal),6.69,25.54,74.62,313,660.9,69,33,84
Snake Gourd (Parwal),6.2,25.43,66.55,411,651.17,82,32,77
Snake Gourd (Parwal),6.01,33.83,60.35,1174,672.9,83,32,91
Snake Gourd (Parwal),6.37,29.87,75.45,1387,630.31,100,45,77
Snake Gourd (Parwal),6.56,32.43,72.3,975,642.1,75,35,62
Snake Gourd (Parwal),6.02,25.45,77.71,546,712.89,77,32,68
Snake Gourd (Parwal),6.75,31.0,64.35,1427,642.42,96,39,72
Snake Gourd (Parwal),6.68,33.79,60.38,1152,685.98,78,37,69
Snake Gourd (Parwal),6.13,29.06,66.36,1118,716.69,91,32,97
Snake Gourd (Parwal),6.15,26.46,70.57,1479,701.38,88,42,69
Snake Gourd (Parwal),6.75,32.65,76.33,610,799.02,86,36,71
Snake Gourd (Parwal),6.76,32.98,64.22,695,630.32,74,36,99
Snake Gourd (Parwal),6.64,26.14,74.54,563,773.53,91,42,62
Snake Gourd (Parwal),6.06,26.61,63.58,1038,661.25,89,48,61
Snake Gourd (Parwal),6.42,31.75,79.33,1192,762.61,67,44,80
Snake Gourd (Parwal),6.1,28.18,68.73,819,742.81,100,30,70
Snake Gourd (Parwal),6.48,33.59,71.96,510,644.15,72,42,90
Snake Gourd (Parwal),6.76,32.08,73.28,1041,751.49,79,46,73
Snake Gourd (Parwal),6.19,33.35,63.51,284,704.09,96,44,97
Snake Gourd (Parwal),6.89,34.18,67.37,470,791.33,80,37,73
Snake Gourd (Parwal),6.73,26.23,62.82,1140,735.5,73,32,77
Snake Gourd (Parwal),6.62,34.84,61.62,1223,605.24,75,42,73
Snake Gourd (Parwal),6.9,26.91,63.04,1203,649.26,83,50,98
