Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Sponge Gourd (Ghirawla),6.64,32.44,65.68,1429,645.57,63,45,71
Sponge Gourd (Ghirawla),6.19,30.54,66.89,99,750.15,63,33,71
Sponge Gourd (Ghirawla),6.99,30.37,79.4,893,657.83,94,45,71
Sponge Gourd (Ghirawla),6.46,31.95,77.53,1331,706.91,70,49,86
Sponge Gourd (Ghirawla),6.08,32.86,69.78,1383,685.95,72,44,82
Sponge Gourd (Ghirawla),6.64,34.36,78.55,1010,651.22,95,32,89
Sponge Gourd (Ghirawla),6.3,28.15,78.03,107,788.59,62,45,65
Sponge Gourd (Ghirawla),6.98,29.68,70.43,544,696.4,66,43,74
Sponge Gourd (Ghirawla),6.76,29.27,76.54,1212,788.07,80,42,60
Sponge Gourd (Ghirawla),6.35,26.96,68.77,1437,664.09,91,33,74
Sponge Gourd (Ghirawla),6.7,30.58,64.01,640,622.59,64,39,65
Sponge Gourd (Ghirawla),6.35,26.57,71.83,1324,760.16,73,46,61
Sponge Gourd (Ghirawla),6.09,25.29,69.74,980,724.99,79,37,92
Sponge Gourd (Ghirawla),6.97,31.67,78.06,177,673.3,76,48,61
Sponge Gourd (Ghirawla),6.79,30.36,69.49,340,766.64,96,44,75
Sponge Gourd (Ghirawla),6.82,34.61,70.55,856,792.49,61,33,98
Sponge Gourd (Ghirawla),6.72,28.2,79.85,1057,689.81,81,35,63
Sponge Gourd (Ghirawla),6.15,27.11,65.89,1220,738.65,63,30,92
Sponge Gourd (Ghirawla),6.57,31.83,71.44,695,795.48,80,38,86
Sponge Gourd (Ghirawla),6.21,34.18,77.28,215,750.73,68,36,85
Sponge Gourd (Ghirawla),6.17,31.67,66.64,873,662.27,90,50,86
Sponge Gourd (Ghirawla),6.71,31.8,64.89,508,748.81,75,34,78
Sponge Gourd (Ghirawla),6.37,25.09,73.21,1489,751.07,66,43,87
Sponge Gourd (Ghirawla),6.88,30.64,72.25,992,661.21,74,36,83
Sponge Gourd (Ghirawla),6.0,26.46,68.37,915,686.73,87,35,87
Sponge Gourd (Ghirawla),6.67,31.34,76.72,825,729.55,74,41,71
Sponge Gourd (Ghirawla),6.38,34.96,69.56,1180,738.82,99,31,94
Sponge Gourd (Ghirawla),6.32,33.75,68.9,238,718.52,98,35,91
Sponge Gourd (Ghirawla),6.42,34.97,60.13,1215,634.75,73,48,86
Sponge Gourd (Ghirawla),6.71,30.64,64.49,1097,662.29,82,30,77
Sponge Gourd (Ghirawla),6.72,31.58,68.59,86,653.85,64,47,65
Sponge Gourd (Ghirawla),6.55,30.7,67.87,701,694.27,81,35,83
Sponge Gourd (Ghirawla),6.76,27.43,63.0,274,759.71,66,35,67
Sponge Gourd (Ghirawla),6.82,26.14,77.74,1128,722.47,63,35,99
Sponge Gourd (Ghirawla),6.71,32.89,65.87,1405,738.5,74,45,89
Sponge Gourd (Ghirawla),6.64,30.32,78.14,40,720.51,99,40,86
Sponge Gourd (Ghirawla),6.0,27.16,63.62,68,737.8,97,30,60
Sponge Gourd (Ghirawla),6.22,25.34,64.06,13,627.33,93,49,99
Sponge Gourd (Ghirawla),6.74,34.43,71.55,119,750.3,63,45,96
Sponge Gourd (Ghirawla),6.82,34.07,67.03,864,780.05,72,42,86
Sponge Gourd (Ghirawla),6.95,30.72,75.26,1001,750.15,92,39,69
Sponge Gourd (Ghirawla),6.56,27.44,73.91,85,735.27,87,39,96
Sponge Gourd (Ghirawla),6.04,28.07,72.3,937,778.41,92,44,87
Sponge Gourd (Ghirawla),6.16,34.51,74.78,964,784.77,92,39,72
Sponge Gourd (Ghirawla),6.29,32.27,76.44,70,755.35,77,47,77
Sponge Gourd (Ghirawla),6.26,31.61,79.76,523,756.88,99,47,96
Sponge Gourd (Ghirawla),6.85,29.31,61.17,1219,604.41,60,50,78
Sponge Gourd (Ghirawla),6.67,26.35,73.51,1151,682.24,98,43,63
Sponge Gourd (Ghirawla),6.06,30.68,75.34,405,791.1,62,49,60
Sponge Gourd (Ghirawla),6.82,29.42,78.53,1380,797.18,65,35,80
Sponge Gourd (Ghirawla),6.72,33.5,77.94,1294,793.97,70,48,87
Sponge Gourd (Ghirawla),6.0,26.99,72.31,444,777.38,83,39,61
Sponge Gourd (Ghirawla),6.7,27.75,77.43,1379,605.85,86,33,96
Sponge Gourd (Ghirawla),6.28,25.61,60.05,1091,785.98,60,50,74
Sponge Gourd (Ghirawla),6.2,30.19,70.67,690,698.92,99,38,94
Sponge Gourd (Ghirawla),6.19,30.47,72.39,112,661.83,84,38,87
Sponge Gourd (Ghirawla),6.42,25.96,62.41,1237,788.56,96,34,76
Sponge Gourd (Ghirawla),6.44,33.03,75.96,514,700.58,84,39,99
