Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Turnip,6.44,13.06,59.5,1412,497.94,102,38,108
Turnip,6.85,13.11,56.58,426,511.91,108,33,94
Turnip,6.9,24.25,65.19,309,478.49,119,33,90
Turnip,6.68,18.8,59.08,1265,508.84,120,34,118
Turnip,6.39,19.22,51.44,1307,536.34,116,20,85
Turnip,6.41,10.17,62.1,1499,410.8,80,39,81
Turnip,6.93,17.41,50.62,1364,577.44,107,24,116
Turnip,6.67,10.41,60.29,225,436.95,80,20,89
Turnip,6.13,11.56,66.01,1235,466.97,108,33,105
Turnip,6.57,20.78,69.97,1098,552.94,97,35,84
Turnip,6.37,19.64,69.37,1315,407.28,119,39,84
Turnip,6.95,13.96,54.01,1458,477.85,92,40,87
Turnip,6.54,20.13,62.98,484,496.91,105,35,89
Turnip,6.1,12.71,67.08,1303,489.19,85,36,96
Turnip,6.84,23.37,52.24,1019,413.89,119,29,100
Turnip,6.68,23.16,67.3,1328,586.93,100,33,109
Turnip,6.31,12.52,60.33,163,438.5,95,32,96
Turnip,6.75,22.05,52.18,317,402.88,105,25,107
Turnip,6.8,24.31,59.0,1335,509.77,89,30,84
Turnip,6.42,21.68,65.28,1250,404.14,104,40,97
Turnip,6.51,13.13,51.23,312,469.41,81,31,89
Turnip,6.5,13.95,55.71,1464,547.47,113,27,115
Turnip,6.51,11.47,55.86,1327,495.07,96,25,88
Turnip,6.93,14.92,68.96,1075,571.76,119,27,86
Turnip,6.71,18.39,54.79,1354,588.08,81,26,80
Turnip,6.1,13.76,61.36,1465,461.85,82,33,104
Turnip,6.75,19.73,65.01,628,552.75,116,20,116
Turnip,6.09,17.31,58.42,622,429.01,101,29,106
Turnip,6.32,12.14,66.37,37,506.41,98,20,101
Turnip,6.21,24.75,56.23,1372,444.61,93,26,119
Turnip,6.95,18.89,57.67,22,590.98,113,22,111
Turnip,6.94,24.55,56.9,377,519.6,99,34,112
Turnip,6.95,21.34,57.9,1497,596.03,103,37,90
Turnip,6.75,13.63,54.99,805,484.98,99,34,85
Turnip,6.13,21.92,59.83,926,593.73,115,21,109
Turnip,6.88,12.98,68.63,1396,439.14,101,20,100
Turnip,6.52,13.14,66.01,1341,429.38,103,29,111
Turnip,6.44,23.94,53.57,84,523.58,88,31,89
Turnip,6.56,13.59,66.94,1342,510.94,106,26,114
Turnip,6.22,10.1,55.24,64,479.03,92,31,100
Turnip,6.61,12.96,68.06,1253,544.51,101,37,94
Turnip,6.65,22.17,54.52,1411,406.22,87,31,110
Turnip,6.01,18.24,50.46,875,423.57,99,25,101
Turnip,6.68,15.39,63.85,464,507.72,117,37,85
Turnip,6.58,10.51,50.5,1305,491.51,95,33,107
Turnip,6.54,18.96,58.32,1296,571.52,96,39,96
Turnip,6.22,11.9,65.96,1333,480.17,106,38,110
Turnip,6.66,14.6,56.76,1300,509.99,85,24,82
Turnip,6.01,22.56,51.38,539,558.74,117,24,104
Turnip,6.66,20.35,50.25,884,579.71,89,21,95
Turnip,6.99,11.73,53.37,13,464.74,89,21,86
Turnip,6.08,24.88,63.24,1244,443.63,110,29,97
Turnip,6.45,13.32,62.96,321,422.78,113,23,89
Turnip,6.25,21.53,53.53,786,535.83,104,22,88
Turnip,6.06,18.66,60.25,1159,486.49,105,26,119
Turnip,6.3,21.35,50.5,1141,489.26,119,21,97
Turnip,6.09,15.4,65.38,910,428.08,104,24,85
Turnip,6.36,21.56,64.32,463,595.63,96,28,99
Turnip,6.14,24.46,64.78,330,593.81,81,39,114
Turnip,6.88,21.7,55.02,209,455.65,113,32,87
Turnip,6.35,22.36,52.31,934,405.32,110,34,99
Turnip,6.52,20.95,68.1,1488,573.31,106,26,112
Turnip,6.42,12.78,57.49,1128,549.45,95,31,109
Turnip,6.07,20.66,54.95,863,556.08,97,20,117
Turnip,6.88,19.9,53.11,660,463.53,81,39,115
Turnip,6.36,16.56,66.43,708,431.44,111,40,106
Turnip,6.49,15.43,54.13,1174,554.49,99,22,94
Turnip,6.59,11.1,59.3,1121,589.3,103,20,106
Turnip,6.83,12.87,68.53,283,488.52,113,38,104
Turnip,6.68,21.5,68.94,971,579.63,107,40,99
Turnip,6.48,21.47,55.76,152,585.52,113,40,103
Turnip,6.5,10.37,53.71,721,520.3,94,39,103
Turnip,6.8,16.59,66.16,1177,464.87,92,23,93
Turnip,6.26,18.72,56.94,1044,472.38,112,37,91
Turnip,6.96,20.05,64.45,336,413.84,86,37,96
Turnip,6.16,18.61,66.66,1493,594.63,88,34,103
Turnip,6.46,14.31,50.61,871,576.01,113,24,114
Turnip,6.6,18.54,52.82,751,558.53,106,36,80
Turnip,6.04,15.14,52.87,157,520.57,120,27,93
Turnip,6.76,12.73,60.35,1340,538.41,118,35,97
Turnip,6.13,18.3,67.99,41,402.72,83,27,91
Turnip,6.3,18.47,56.8,607,450.05,112,32,120
Turnip,6.3,21.08,52.81,624,462.32,104,21,97
Turnip,6.81,12.78,56.57,1140,477.84,111,35,91
Turnip,6.23,21.64,62.69,754,519.57,81,22,111
Turnip,6.61,15.69,52.8,766,466.44,82,28,86
Turnip,6.56,10.85,57.07,1156,464.56,80,39,91
Turnip,6.97,24.01,62.03,1071,411.84,107,32,93
Turnip,6.16,24.53,59.3,217,412.95,97,39,100
Turnip,6.96,12.62,51.56,277,439.32,81,36,80
Turnip,6.89,24.07,61.2,1419,559.71,103,32,87
Turnip,6.77,20.41,57.39,186,525.18,116,23,120
Turnip,6.56,11.8,54.74,736,457.84,83,21,80
Turnip,6.97,14.58,54.86,506,512.19,90,31,105
Turnip,6.25,19.98,55.89,1054,400.85,104,27,95
Turnip,6.49,19.56,52.27,116,490.51,84,39,99
Turnip,6.57,20.33,58.7,770,558.33,110,30,103
Turnip,6.97,13.4,66.37,898,401.34,110,20,100
Turnip,6.48,21.62,50.28,613,569.81,105,38,119
Turnip,6.98,11.92,57.36,82,442.67,114,23,113
Turnip,6.26,15.22,51.2,1039,436.55,87,32,93
Turnip,6.18,12.52,52.51,75,552.96,114,28,81
Turnip,6.41,13.11,64.4,630,497.89,106,23,110
Turnip,6.41,16.25,58.81,251,408.54,98,32,84
Turnip,6.02,21.32,64.35,380,547.77,99,36,115
Turnip,6.04,14.44,63.92,698,451.1,97,25,110
Turnip,6.27,20.81,56.53,1352,508.88,98,29,89
Turnip,6.64,16.99,51.02,1407,541.13,112,33,100
Turnip,6.75,13.52,56.59,429,407.46,88,40,120
Turnip,6.7,16.43,60.17,1027,471.57,80,29,102
