Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Walnut,6.31,17.69,33.75,1036,745.89,55,47,62
Walnut,7.04,20.66,44.02,302,678.26,68,34,44
Walnut,6.29,23.81,52.45,242,604.59,70,42,69
Walnut,6.58,24.4,50.91,915,1137.11,60,54,57
Walnut,6.34,23.93,41.66,725,923.53,50,57,41
Walnut,7.44,23.75,39.12,933,875.59,57,47,59
Walnut,6.32,10.39,49.27,1321,715.07,75,45,44
Walnut,6.41,13.17,51.14,114,859.32,79,46,59
Walnut,6.81,13.42,31.99,792,844.04,49,48,80
Walnut,7.21,12.25,34.39,1362,1175.71,43,60,54
Walnut,6.69,17.59,36.91,606,1112.59,72,45,48
Walnut,6.8,15.62,49.94,1053,1193.43,72,47,44
Walnut,6.16,20.37,32.99,1006,1042.28,77,33,57
Walnut,6.24,23.68,51.39,523,1130.11,41,45,51
Walnut,7.32,13.06,38.41,1435,628.27,47,33,59
Walnut,6.59,18.22,43.25,90,730.5,71,36,65
Walnut,6.07,17.16,58.07,1136,852.97,58,60,75
Walnut,6.64,13.47,55.81,712,744.03,48,57,49
Walnut,6.88,23.66,54.9,380,919.88,67,37,79
Walnut,6.24,10.96,49.08,1458,1084.41,78,54,64
Walnut,7.03,22.13,32.56,683,1137.17,43,56,48
Walnut,7.43,10.67,37.14,523,965.39,41,40,72
Walnut,6.35,13.27,53.47,1153,702.92,59,35,41
Walnut,6.62,12.66,35.31,1192,705.55,44,47,69
Walnut,7.19,10.71,39.59,666,1055.13,54,50,66
Walnut,7.2,16.4,37.26,188,1015.75,42,55,49
Walnut,6.76,23.96,40.6,1091,1148.46,56,33,46
Walnut,7.28,16.79,30.08,533,947.92,62,60,51
Walnut,7.43,24.99,57.93,817,1172.55,60,48,53
Walnut,6.22,21.42,43.1,798,1149.27,71,35,61
Walnut,7.18,13.77,52.1,724,685.85,49,37,56
Walnut,7.27,11.08,59.77,537,739.97,49,59,66
Walnut,6.42,23.46,31.89,807,1090.26,53,52,55
Walnut,6.61,15.67,34.06,1500,622.66,60,56,73
Walnut,6.45,19.19,49.93,341,642.3,61,57,60
Walnut,6.14,16.37,50.56,642,1162.46,66,34,65
Walnut,7.08,10.08,47.21,444,730.19,74,40,41
Walnut,7.17,16.63,49.89,1180,719.61,76,54,46
Walnut,7.37,11.78,54.07,83,811.63,51,45,57
Walnut,7.23,17.9,46.75,149,810.68,63,50,67
Walnut,6.17,13.44,42.32,175,1108.74,53,50,56
Walnut,6.21,20.57,51.62,550,891.12,51,54,40
Walnut,7.13,24.28,42.95,670,980.13,40,47,59
Walnut,7.28,11.02,50.52,285,681.87,74,48,48
Walnut,7.47,24.85,59.16,937,1166.71,57,30,45
Walnut,6.13,13.33,59.68,546,613.88,72,43,57
Walnut,7.12,21.71,46.4,1357,1162.13,57,49,70
Walnut,6.31,18.02,48.01,335,1191.6,48,56,77
Walnut,7.41,19.59,41.34,1088,1142.54,42,37,57
Walnut,6.82,12.33,43.53,184,603.11,63,34,45
Walnut,6.81,21.42,37.33,1171,636.78,63,58,73
Walnut,6.22,14.1,58.23,1042,645.37,79,31,74
Walnut,7.0,14.92,54.28,267,666.9,53,48,76
Walnut,6.62,18.42,39.92,851,881.82,57,57,77
Walnut,6.72,19.54,34.02,1158,888.13,54,41,53
Walnut,7.27,24.24,52.93,1085,1169.26,46,31,61
Walnut,7.0,12.36,30.91,651,902.8,58,55,66
Walnut,7.13,21.21,34.61,474,1188.26,41,35,74
Walnut,6.23,16.68,31.0,1346,656.51,67,57,77
Walnut,6.66,13.21,30.45,687,809.99,43,46,71
Walnut,6.11,19.95,32.77,561,815.56,63,38,55
Walnut,7.48,18.51,59.79,919,771.16,55,38,54
Walnut,6.19,21.78,33.77,1388,1120.04,73,43,48
Walnut,6.75,21.41,53.01,109,730.5,40,35,51
Walnut,6.56,24.52,44.5,320,1086.38,54,37,47
Walnut,6.66,24.2,44.33,742,696.32,70,35,61
Walnut,6.92,10.01,32.06,327,924.34,78,51,49
Walnut,6.85,13.36,50.8,1283,1193.5,74,54,45
Walnut,6.69,13.73,34.45,465,996.05,61,36,54
Walnut,6.54,11.78,56.99,466,924.48,51,36,79
Walnut,6.63,22.61,36.3,228,907.98,71,54,77
Walnut,7.2,11.62,38.85,1237,1037.86,76,30,57
Walnut,6.56,18.73,38.32,96,670.56,60,44,50
Walnut,6.63,10.25,45.24,804,984.24,63,34,49
Walnut,6.83,24.24,31.79,1000,1152.76,71,55,62
Walnut,6.45,24.02,51.82,596,919.51,40,41,60
Walnut,6.01,10.69,50.8,1012,1023.51,50,53,54
Walnut,6.14,14.13,33.47,1488,776.5,50,59,62
Walnut,7.09,13.52,32.35,271,954.28,57,35,49
Walnut,6.27,11.51,49.42,126,659.24,52,53,75
Walnut,6.77,13.56,59.14,1395,1196.8,80,56,54
Walnut,6.31,23.87,40.67,535,758.08,79,43,59
Walnut,6.4,23.7,37.07,1023,1044.86,60,41,60
Walnut,6.4,22.47,55.43,946,714.19,57,58,63
Walnut,7.05,15.32,56.29,913,612.05,41,51,61
Walnut,6.52,22.09,44.24,683,1083.86,52,52,72
Walnut,7.2,13.06,59.01,108,881.47,68,54,75
Walnut,6.85,20.81,31.57,1255,1147.34,59,30,56
Walnut,6.16,12.31,47.6,1058,736.66,76,43,76
Walnut,6.53,24.29,49.11,446,752.73,47,52,71
Walnut,7.02,15.41,34.43,1231,1108.9,55,33,40
Walnut,6.79,14.6,38.12,1375,669.04,49,53,70
Walnut,6.21,20.2,44.34,461,887.87,72,41,53
Walnut,6.83,24.61,44.31,108,1181.48,47,57,43
Walnut,7.07,18.65,49.26,964,874.32,44,48,48
