Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Chayote,6.98,28.04,47.36,858,1252.26,119,34,123
Chayote,6.86,27.95,67.21,1253,1328.87,142,38,131
Chayote,6.76,24.02,69.73,1040,1313.57,87,30,154
Chayote,5.95,26.94,51.65,1003,1141.37,142,40,133
Chayote,5.67,27.44,55.58,1360,1349.06,121,38,130
Chayote,6.32,25.17,67.59,906,1379.78,142,21,134
Chayote,6.19,20.03,78.64,1084,1127.38,143,35,90
Chayote,6.98,25.18,48.49,1112,1225.18,121,21,82
Chayote,5.93,20.38,46.62,875,1140.4,88,22,121
Chayote,6.4,24.57,53.44,1263,1021.39,135,36,115
Chayote,6.24,26.26,71.88,876,1018.53,122,40,184
Chayote,6.18,28.3,48.65,872,1192.74,99,26,193
Chayote,6.85,25.97,70.65,1010,1035.3,116,25,86
Chayote,6.04,23.69,50.51,1364,1157.02,150,25,126
Chayote,6.06,21.42,77.13,1219,1276.02,81,31,95
Chayote,6.68,25.53,45.95,1102,1331.41,144,37,188
Chayote,5.95,22.49,49.45,1115,1381.39,125,20,115
Chayote,6.29,22.73,48.89,1025,1243.84,113,28,172
Chayote,6.98,28.06,57.77,845,1229.8,141,28,195
Chayote,5.87,29.45,65.45,1366,1207.57,103,40,183
Chayote,6.74,27.83,45.19,1368,1032.13,116,28,161
Chayote,6.49,24.46,74.53,1298,1018.64,121,27,190
Chayote,5.97,26.35,59.9,1138,1478.23,94,27,179
Chayote,6.72,23.57,48.18,1019,1436.98,99,28,176
Chayote,6.64,24.22,66.58,989,1349.99,92,28,170
Chayote,6.18,23.28,68.91,1356,1409.05,104,30,180
Chayote,5.82,28.27,68.97,1063,1251.91,82,28,136
Chayote,6.11,26.52,79.24,1366,1436.1,103,27,155
Chayote,6.87,29.67,67.12,1058,1073.52,104,37,146
Chayote,5.96,22.74,68.44,1011,1027.58,134,36,84
Chayote,5.66,25.51,41.93,827,1091.14,84,36,162
Chayote,6.75,24.51,51.14,1058,1100.07,147,33,173
Chayote,6.7,23.72,50.95,1159,1115.1,112,26,183
Chayote,6.86,24.48,65.87,820,1350.26,128,37,177
Chayote,6.18,26.97,68.02,1217,1398.11,135,30,90
Chayote,6.96,27.13,79.63,1225,1000.62,127,38,139
Chayote,6.02,22.26,79.23,1176,1412.83,145,30,82
Chayote,6.23,22.09,69.56,1268,1369.13,81,20,133
Chayote,5.59,22.81,47.62,916,1290.15,88,33,101
Chayote,6.16,21.84,53.09,994,1156.94,94,36,155
Chayote,6.35,24.32,58.71,1383,1405.91,113,20,166
Chayote,6.02,26.14,66.61,1063,1474.23,147,30,156
Chayote,6.52,29.59,70.91,816,1385.99,103,25,129
Chayote,5.57,24.41,76.24,1279,1331.23,126,37,89
Chayote,6.67,20.77,63.96,1252,1134.87,114,23,137
Chayote,5.76,24.01,57.74,1302,1404.09,83,27,118
Chayote,5.74,23.29,60.8,868,1468.07,127,27,158
Chayote,6.71,26.05,40.81,1169,1496.14,83,39,149
Chayote,5.87,26.96,62.19,1171,1263.55,138,38,191
Chayote,5.96,28.19,63.72,1291,1084.62,93,21,153
Chayote,6.59,28.93,51.62,915,1211.29,128,24,106
Chayote,6.06,21.87,53.71,1317,1249.13,116,20,188
Chayote,5.76,22.7,50.53,1017,1197.67,135,40,93
Chayote,6.42,25.17,45.34,1061,1216.92,97,22,163
Chayote,6.29,27.3,73.91,1184,1293.0,110,33,83
Chayote,5.89,25.26,58.19,1119,1360.24,90,22,183
Chayote,5.5,28.48,58.13,1288,1163.61,135,34,138
Chayote,6.31,22.07,63.73,843,1113.09,82,23,200
Chayote,6.08,23.61,62.3,1072,1196.76,122,38,180
Chayote,5.62,23.61,64.19,1270,1055.36,87,32,110
Chayote,6.43,26.52,63.95,1132,1305.12,104,28,111
Chayote,6.78,23.18,50.68,1247,1306.76,122,30,159
Chayote,5.65,22.93,72.55,828,1297.66,116,24,171
Chayote,6.76,22.18,72.28,845,1244.99,100,21,97
Chayote,6.52,20.31,49.66,1302,1179.03,136,20,81
Chayote,6.22,25.52,66.08,844,1261.58,144,25,156
Chayote,5.9,21.13,69.99,1342,1369.42,144,36,171
Chayote,5.71,25.16,51.52,1187,1160.75,136,26,127
Chayote,5.61,22.94,67.63,850,1213.52,114,39,198
Chayote,6.57,23.99,75.55,836,1318.53,132,30,190
Chayote,6.62,23.41,73.87,1154,1173.01,140,29,102
Chayote,5.64,28.4,42.75,1281,1495.89,111,29,169
Chayote,5.61,28.47,51.59,1051,1191.8,141,23,138
Chayote,6.41,24.08,47.03,881,1203.95,138,33,154
