Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Cranberries,5.42,28.85,78.74,3027,887.87,75,27,51
Cranberries,5.21,26.51,77.33,3344,1198.54,138,30,38
Cranberries,5.48,30.01,64.39,1771,874.03,75,37,61
Cranberries,4.49,21.76,80.57,2235,1099.66,87,33,45
Cranberries,5.36,23.99,69.5,2435,810.61,129,30,31
Cranberries,4.4,29.0,77.14,1793,1056.21,72,39,93
Cranberries,5.08,29.78,71.67,1624,929.8,48,27,79
Cranberries,5.26,31.36,84.72,3652,953.95,145,21,52
Cranberries,5.49,32.49,77.56,2706,1338.52,82,31,90
Cranberries,4.69,31.43,81.63,3881,782.56,51,40,98
Cranberries,4.86,32.04,77.27,1782,1320.72,86,21,63
Cranberries,5.33,24.78,70.49,3147,1067.59,143,28,114
Cranberries,4.58,26.8,80.58,3416,919.47,102,29,75
Cranberries,5.13,28.3,77.04,1714,1428.75,45,21,34
Cranberries,4.45,29.3,78.83,2692,836.24,70,26,57
Cranberries,5.03,25.32,68.76,2984,865.15,63,28,121
Cranberries,4.09,28.59,63.46,2400,555.82,121,39,39
Cranberries,4.14,24.73,80.3,2009,1346.77,136,22,24
Cranberries,4.47,24.11,71.82,2089,827.38,50,28,47
Cranberries,5.06,30.54,80.58,1579,522.79,52,23,89
Cranberries,4.18,20.16,63.62,2976,503.38,98,35,50
Cranberries,4.46,22.82,60.47,2127,716.48,66,21,75
Cranberries,5.23,29.6,74.09,1505,1105.53,57,32,108
Cranberries,5.27,28.05,76.43,1912,757.96,139,27,38
Cranberries,5.14,25.85,81.99,2789,1496.05,128,35,123
Cranberries,4.18,21.7,69.86,2493,687.0,57,26,110
Cranberries,5.19,32.84,61.62,3423,919.36,117,35,30
Cranberries,4.23,33.94,78.83,1889,1230.85,100,31,113
Cranberries,4.98,20.17,70.41,2922,1445.36,118,31,88
Cranberries,5.33,33.09,83.65,3725,1006.67,44,34,78
Cranberries,5.29,24.08,80.96,3996,944.2,66,37,58
Cranberries,4.12,22.43,79.91,1977,1493.47,143,35,42
Cranberries,5.21,20.96,64.28,3127,1443.72,65,20,55
Cranberries,4.63,29.75,71.37,3451,962.06,117,20,23
Cranberries,4.7,26.68,74.4,3544,596.36,102,21,34
Cranberries,4.71,32.14,60.78,3594,1001.31,80,20,56
Cranberries,4.19,22.43,67.89,1880,595.31,50,35,33
Cranberries,4.34,31.6,66.69,3485,1430.77,116,20,93
Cranberries,4.67,29.96,70.04,3839,1391.07,87,35,131
Cranberries,4.31,23.22,77.1,2556,1006.08,127,36,36
Cranberries,4.32,32.0,83.37,3501,765.27,49,23,47
Cranberries,4.05,34.42,68.71,1716,1207.42,112,31,110
Cranberries,5.46,33.21,61.04,3656,1311.83,62,27,31
Cranberries,4.43,27.61,80.75,2990,1491.59,61,28,37
Cranberries,4.16,25.51,72.92,2150,1113.54,40,29,86
Cranberries,4.86,23.9,71.95,4000,815.3,75,22,118
Cranberries,4.33,20.82,62.78,2400,1118.31,140,39,81
Cranberries,4.83,26.95,79.04,3362,630.95,69,20,50
Cranberries,4.86,22.45,78.4,3237,1166.9,78,40,128
Cranberries,4.93,30.59,60.01,2797,1121.02,116,38,57
Cranberries,5.34,23.12,73.71,3010,816.16,97,34,122
