Crop,pH,Temperature (°C),Humidity (%),Altitude (m),Rainfall (mm),Nitrogen (mg/kg),Phosphorus (mg/kg),Potassium (mg/kg)
Pineapple,5.22,24.43,65.1,873,1238.29,172,60,25
Pineapple,6.22,22.78,68.07,293,1143.52,199,55,146
Pineapple,6.18,33.1,75.42,653,1112.49,183,77,173
Pineapple,5.29,26.08,73.54,628,1067.7,148,76,45
Pineapple,6.41,23.23,71.55,686,1182.09,178,65,80
Pineapple,6.49,28.62,78.56,397,1304.73,108,59,181
Pineapple,6.24,22.97,69.2,944,1318.63,181,89,191
Pineapple,6.02,24.23,73.16,967,1001.01,176,59,111
Pineapple,5.06,28.35,74.41,747,1425.11,102,65,93
Pineapple,5.87,23.69,71.93,524,1325.49,188,97,26
Pineapple,6.18,28.46,72.42,481,1477.01,149,63,175
Pineapple,5.57,34.75,73.87,179,1225.49,136,95,41
Pineapple,5.56,31.92,72.11,632,1100.95,179,68,173
Pineapple,6.23,28.96,75.32,360,1437.35,158,85,140
Pineapple,5.11,30.43,73.67,272,1479.89,178,68,93
Pineapple,6.1,24.52,71.98,552,1005.76,163,51,45
Pineapple,5.58,25.7,79.19,130,1292.12,190,82,83
Pineapple,5.91,30.99,69.18,981,1215.64,114,88,169
Pineapple,6.18,33.15,75.37,550,1321.48,153,74,23
Pineapple,5.1,22.46,78.19,668,1279.83,122,68,40
Pineapple,6.28,28.86,70.18,185,1063.24,123,59,41
Pineapple,5.44,24.11,73.32,157,1381.65,145,90,153
Pineapple,5.63,32.53,67.5,754,1125.81,192,92,50
Pineapple,5.12,23.86,74.54,494,1208.88,160,98,80
Pineapple,5.09,30.58,77.87,820,1432.25,146,71,173
Pineapple,6.44,28.7,71.16,404,1231.0,166,100,156
Pineapple,6.02,29.73,74.94,806,1168.05,109,91,182
Pineapple,5.78,30.46,79.05,778,1288.29,122,58,163
Pineapple,6.48,24.63,74.86,358,1166.38,177,67,140
Pineapple,5.94,22.81,67.31,535,1347.14,153,54,132
Pineapple,6.29,25.83,66.13,508,1013.68,168,50,126
Pineapple,5.36,31.32,75.39,775,1449.18,195,63,169
Pineapple,6.04,32.18,69.79,286,1063.3,128,70,56
Pineapple,5.49,35.75,74.79,231,1001.27,141,60,40
Pineapple,5.08,24.35,67.71,971,1141.52,146,55,80
Pineapple,6.11,31.71,65.97,788,1060.46,144,60,155
Pineapple,5.1,35.45,75.93,374,1310.57,132,61,60
Pineapple,5.78,35.43,68.24,792,1048.09,171,67,100
Pineapple,6.35,30.6,66.24,309,1321.96,196,98,79
Pineapple,6.07,22.7,76.47,506,1444.44,196,89,29
Pineapple,6.28,23.52,65.76,640,1099.12,116,92,144
Pineapple,5.18,33.99,69.98,618,1089.19,134,71,163
Pineapple,5.73,33.93,76.96,316,1463.0,186,67,66
